date,hour,rentals
1/6/2011,6,36
1/6/2011,7,95
1/6/2011,8,219
1/6/2011,9,122
1/6/2011,10,45
1/6/2011,11,59
1/6/2011,12,84
1/6/2011,13,67
1/6/2011,14,70
1/6/2011,15,62
1/6/2011,16,86
1/6/2011,17,172
1/6/2011,18,163
1/6/2011,19,112
1/6/2011,20,69
1/6/2011,21,48
1/6/2011,22,52
1/6/2011,23,23
1/7/2011,0,17
1/7/2011,1,7
1/7/2011,2,1
1/7/2011,4,1
1/7/2011,5,5
1/7/2011,6,34
1/7/2011,7,84
1/7/2011,8,210
1/7/2011,9,134
1/7/2011,10,63
1/7/2011,11,67
1/7/2011,12,59
1/7/2011,13,73
1/7/2011,14,50
1/7/2011,15,72
1/7/2011,16,87
1/7/2011,17,187
1/7/2011,18,123
1/7/2011,19,95
1/7/2011,20,51
1/7/2011,21,39
1/7/2011,22,36
1/7/2011,23,15
1/8/2011,0,25
1/8/2011,1,16
1/8/2011,2,16
1/8/2011,3,7
1/8/2011,4,1
1/8/2011,5,5
1/8/2011,6,2
1/8/2011,7,9
1/8/2011,8,15
1/8/2011,9,20
1/8/2011,10,61
1/8/2011,11,62
1/8/2011,12,98
1/8/2011,13,102
1/8/2011,14,95
1/8/2011,15,74
1/8/2011,16,76
1/8/2011,17,69
1/8/2011,18,55
1/8/2011,19,30
1/8/2011,20,28
1/8/2011,21,37
1/8/2011,22,34
1/8/2011,23,22
1/9/2011,0,25
1/9/2011,1,12
1/9/2011,2,11
1/9/2011,3,4
1/9/2011,4,1
1/9/2011,5,1
1/9/2011,6,1
1/9/2011,7,6
1/9/2011,8,10
1/9/2011,9,19
1/9/2011,10,49
1/9/2011,11,49
1/9/2011,12,83
1/9/2011,13,75
1/9/2011,14,72
1/9/2011,15,82
1/9/2011,16,92
1/9/2011,17,62
1/9/2011,18,48
1/9/2011,19,41
1/9/2011,20,38
1/9/2011,21,20
1/9/2011,22,15
1/9/2011,23,6
1/10/2011,0,5
1/10/2011,1,1
1/10/2011,2,3
1/10/2011,3,1
1/10/2011,4,3
1/10/2011,5,3
1/10/2011,6,31
1/10/2011,7,77
1/10/2011,8,188
1/10/2011,9,94
1/10/2011,10,31
1/10/2011,11,30
1/10/2011,12,52
1/10/2011,13,54
1/10/2011,14,47
1/10/2011,15,45
1/10/2011,16,74
1/10/2011,17,178
1/10/2011,18,155
1/10/2011,19,95
1/10/2011,20,74
1/10/2011,21,38
1/10/2011,22,24
1/10/2011,23,18
1/11/2011,0,12
1/11/2011,1,3
1/11/2011,2,3
1/11/2011,5,6
1/11/2011,6,27
1/11/2011,7,99
1/11/2011,8,217
1/11/2011,9,130
1/11/2011,10,54
1/11/2011,11,35
1/11/2011,12,57
1/11/2011,13,52
1/11/2011,14,63
1/11/2011,15,47
1/11/2011,16,76
1/11/2011,17,136
1/11/2011,18,95
1/11/2011,19,51
1/11/2011,20,32
1/11/2011,21,20
1/11/2011,22,29
1/11/2011,23,19
1/12/2011,0,7
1/12/2011,1,6
1/12/2011,2,1
1/12/2011,5,5
1/12/2011,6,16
1/12/2011,7,54
1/12/2011,8,128
1/12/2011,9,81
1/12/2011,10,39
1/12/2011,11,35
1/12/2011,12,55
1/12/2011,13,49
1/12/2011,14,44
1/12/2011,15,49
1/12/2011,16,68
1/12/2011,17,139
1/12/2011,18,137
1/12/2011,19,83
1/12/2011,20,56
1/12/2011,21,57
1/12/2011,22,33
1/12/2011,23,20
1/13/2011,0,7
1/13/2011,1,2
1/13/2011,2,2
1/13/2011,3,3
1/13/2011,4,4
1/13/2011,5,3
1/13/2011,6,28
1/13/2011,7,72
1/13/2011,8,202
1/13/2011,9,139
1/13/2011,10,38
1/13/2011,11,37
1/13/2011,12,52
1/13/2011,13,83
1/13/2011,14,42
1/13/2011,15,60
1/13/2011,16,78
1/13/2011,17,162
1/13/2011,18,144
1/13/2011,19,99
1/13/2011,20,64
1/13/2011,21,40
1/13/2011,22,30
1/13/2011,23,15
1/14/2011,0,14
1/14/2011,1,5
1/14/2011,2,1
1/14/2011,3,1
1/14/2011,5,8
1/14/2011,6,17
1/14/2011,7,70
1/14/2011,8,158
1/14/2011,9,117
1/14/2011,10,44
1/14/2011,11,53
1/14/2011,12,61
1/14/2011,13,77
1/14/2011,14,64
1/14/2011,15,68
1/14/2011,16,90
1/14/2011,17,159
1/14/2011,18,139
1/14/2011,19,92
1/14/2011,20,68
1/14/2011,21,52
1/14/2011,22,36
1/14/2011,23,27
1/15/2011,0,28
1/15/2011,1,20
1/15/2011,2,12
1/15/2011,3,8
1/15/2011,4,5
1/15/2011,5,1
1/15/2011,6,3
1/15/2011,7,10
1/15/2011,8,23
1/15/2011,9,33
1/15/2011,10,59
1/15/2011,11,72
1/15/2011,12,89
1/15/2011,13,101
1/15/2011,14,118
1/15/2011,15,129
1/15/2011,16,128
1/15/2011,17,83
1/15/2011,18,84
1/15/2011,19,74
1/15/2011,20,41
1/15/2011,21,57
1/15/2011,22,26
1/15/2011,23,44
1/16/2011,0,39
1/16/2011,1,23
1/16/2011,2,16
1/16/2011,3,15
1/16/2011,4,1
1/16/2011,5,2
1/16/2011,6,1
1/16/2011,7,3
1/16/2011,8,18
1/16/2011,9,32
1/16/2011,10,79
1/16/2011,11,93
1/16/2011,12,104
1/16/2011,13,118
1/16/2011,14,91
1/16/2011,15,113
1/16/2011,16,99
1/16/2011,17,105
1/16/2011,18,67
1/16/2011,19,61
1/16/2011,20,57
1/16/2011,21,28
1/16/2011,22,21
1/16/2011,23,18
1/17/2011,0,17
1/17/2011,1,16
1/17/2011,2,8
1/17/2011,3,2
1/17/2011,4,3
1/17/2011,5,1
1/17/2011,6,5
1/17/2011,7,13
1/17/2011,8,33
1/17/2011,9,47
1/17/2011,10,57
1/17/2011,11,64
1/17/2011,12,80
1/17/2011,13,93
1/17/2011,14,86
1/17/2011,15,93
1/17/2011,16,82
1/17/2011,17,71
1/17/2011,18,92
1/17/2011,19,60
1/17/2011,20,33
1/17/2011,21,27
1/17/2011,22,13
1/17/2011,23,4
1/18/2011,12,3
1/18/2011,13,22
1/18/2011,14,28
1/18/2011,15,35
1/18/2011,16,61
1/18/2011,17,125
1/18/2011,18,133
1/18/2011,19,99
1/18/2011,20,83
1/18/2011,21,41
1/18/2011,22,33
1/18/2011,23,20
1/19/2011,0,3
1/19/2011,1,7
1/19/2011,2,3
1/19/2011,4,2
1/19/2011,5,7
1/19/2011,6,32
1/19/2011,7,90
1/19/2011,8,197
1/19/2011,9,109
1/19/2011,10,47
1/19/2011,11,52
1/19/2011,12,70
1/19/2011,13,78
1/19/2011,14,75
1/19/2011,15,82
1/19/2011,16,104
1/19/2011,17,197
1/19/2011,18,161
1/19/2011,19,112
1/19/2011,20,76
1/19/2011,21,59
1/19/2011,22,59
1/19/2011,23,28
1/20/2011,0,13
1/20/2011,1,5
1/20/2011,2,2
1/20/2011,3,1
1/20/2011,4,1
1/20/2011,5,6
1/20/2011,6,35
1/20/2011,7,101
1/20/2011,8,249
1/20/2011,9,143
1/20/2011,10,57
1/20/2011,11,68
1/20/2011,12,84
1/20/2011,13,98
1/20/2011,14,81
1/20/2011,15,70
1/20/2011,16,91
1/20/2011,17,215
1/20/2011,18,185
1/20/2011,19,152
1/20/2011,20,126
1/20/2011,21,57
1/20/2011,22,56
1/20/2011,23,31
1/21/2011,0,21
1/21/2011,1,6
1/21/2011,2,2
1/21/2011,3,1
1/21/2011,4,1
1/21/2011,5,5
1/21/2011,6,27
1/21/2011,7,68
1/21/2011,8,217
1/21/2011,9,166
1/21/2011,10,63
1/21/2011,11,59
1/21/2011,12,78
1/21/2011,13,73
1/21/2011,14,62
1/21/2011,15,65
1/21/2011,16,97
1/21/2011,17,161
1/21/2011,18,120
1/21/2011,19,96
1/21/2011,20,53
1/21/2011,21,41
1/21/2011,22,34
1/21/2011,23,27
1/22/2011,0,13
1/22/2011,1,12
1/22/2011,2,11
1/22/2011,3,7
1/22/2011,4,3
1/22/2011,6,2
1/22/2011,7,8
1/22/2011,8,27
1/22/2011,9,40
1/22/2011,10,53
1/22/2011,11,63
1/22/2011,12,70
1/22/2011,13,84
1/22/2011,14,75
1/22/2011,15,103
1/22/2011,16,83
1/22/2011,17,67
1/22/2011,18,54
1/22/2011,19,59
1/22/2011,20,45
1/22/2011,21,39
1/22/2011,22,30
1/22/2011,23,33
1/23/2011,0,22
1/23/2011,1,13
1/23/2011,2,18
1/23/2011,3,5
1/23/2011,5,3
1/23/2011,6,1
1/23/2011,7,2
1/23/2011,8,19
1/23/2011,9,28
1/23/2011,10,58
1/23/2011,11,99
1/23/2011,12,116
1/23/2011,13,87
1/23/2011,14,110
1/23/2011,15,77
1/23/2011,16,65
1/23/2011,17,55
1/23/2011,18,49
1/23/2011,19,50
1/23/2011,20,35
1/23/2011,21,25
1/23/2011,22,28
1/23/2011,23,21
1/24/2011,0,7
1/24/2011,1,1
1/24/2011,3,1
1/24/2011,4,1
1/24/2011,5,5
1/24/2011,6,15
1/24/2011,7,84
1/24/2011,8,177
1/24/2011,9,102
1/24/2011,10,40
1/24/2011,11,46
1/24/2011,12,63
1/24/2011,13,60
1/24/2011,14,45
1/24/2011,15,57
1/24/2011,16,70
1/24/2011,17,184
1/24/2011,18,153
1/24/2011,19,106
1/24/2011,20,81
1/24/2011,21,59
1/24/2011,22,35
1/24/2011,23,24
1/25/2011,0,9
1/25/2011,1,5
1/25/2011,2,2
1/25/2011,4,1
1/25/2011,5,9
1/25/2011,6,36
1/25/2011,7,108
1/25/2011,8,238
1/25/2011,9,144
1/25/2011,10,55
1/25/2011,11,61
1/25/2011,12,106
1/25/2011,13,93
1/25/2011,14,68
1/25/2011,15,84
1/25/2011,16,116
1/25/2011,17,222
1/25/2011,18,225
1/25/2011,19,146
1/25/2011,20,119
1/25/2011,21,45
1/25/2011,22,53
1/25/2011,23,40
1/26/2011,0,17
1/26/2011,1,5
1/26/2011,2,10
1/26/2011,5,1
1/26/2011,6,8
1/26/2011,7,30
1/26/2011,8,72
1/26/2011,9,58
1/26/2011,10,28
1/26/2011,11,41
1/26/2011,12,48
1/26/2011,13,47
1/26/2011,14,36
1/26/2011,15,43
1/26/2011,16,36
1/26/2011,17,26
1/27/2011,16,24
1/27/2011,17,84
1/27/2011,18,104
1/27/2011,19,79
1/27/2011,20,59
1/27/2011,21,38
1/27/2011,22,27
1/27/2011,23,16
1/28/2011,0,9
1/28/2011,1,3
1/28/2011,2,2
1/28/2011,3,1
1/28/2011,5,4
1/28/2011,6,16
1/28/2011,7,60
1/28/2011,8,157
1/28/2011,9,101
1/28/2011,10,49
1/28/2011,11,30
1/28/2011,12,29
1/28/2011,13,31
1/28/2011,14,38
1/28/2011,15,41
1/28/2011,16,80
1/28/2011,17,149
1/28/2011,18,109
1/28/2011,19,89
1/28/2011,20,62
1/28/2011,21,58
1/28/2011,22,26
1/28/2011,23,23
1/29/2011,0,28
1/29/2011,1,20
1/29/2011,2,15
1/29/2011,3,8
1/29/2011,4,3
1/29/2011,6,2
1/29/2011,7,5
1/29/2011,8,34
1/29/2011,9,34
1/29/2011,10,55
1/29/2011,11,64
1/29/2011,12,78
1/29/2011,13,65
1/29/2011,14,99
1/29/2011,15,120
1/29/2011,16,107
1/29/2011,17,91
1/29/2011,18,68
1/29/2011,19,58
1/29/2011,20,43
1/29/2011,21,36
1/29/2011,22,32
1/29/2011,23,33
1/30/2011,0,33
1/30/2011,1,29
1/30/2011,2,11
1/30/2011,3,8
1/30/2011,4,1
1/30/2011,5,3
1/30/2011,7,3
1/30/2011,8,12
1/30/2011,9,38
1/30/2011,10,64
1/30/2011,11,59
1/30/2011,12,97
1/30/2011,13,84
1/30/2011,14,122
1/30/2011,15,109
1/30/2011,16,123
1/30/2011,17,77
1/30/2011,18,65
1/30/2011,19,55
1/30/2011,20,33
1/30/2011,21,28
1/30/2011,22,21
1/30/2011,23,21
1/31/2011,0,7
1/31/2011,1,7
1/31/2011,2,1
1/31/2011,3,2
1/31/2011,4,2
1/31/2011,5,8
1/31/2011,6,37
1/31/2011,7,72
1/31/2011,8,185
1/31/2011,9,112
1/31/2011,10,69
1/31/2011,11,48
1/31/2011,12,68
1/31/2011,13,54
1/31/2011,14,86
1/31/2011,15,44
1/31/2011,16,86
1/31/2011,17,161
1/31/2011,18,156
1/31/2011,19,111
1/31/2011,20,78
1/31/2011,21,56
1/31/2011,22,34
1/31/2011,23,17
2/1/2011,0,8
2/1/2011,1,3
2/1/2011,2,2
2/1/2011,3,2
2/1/2011,5,3
2/1/2011,6,22
2/1/2011,7,52
2/1/2011,8,135
2/1/2011,9,116
2/1/2011,10,47
2/1/2011,11,51
2/1/2011,12,55
2/1/2011,13,52
2/1/2011,14,54
2/1/2011,15,52
2/1/2011,16,64
2/1/2011,17,176
2/1/2011,18,168
2/1/2011,19,108
2/1/2011,20,74
2/1/2011,21,64
2/1/2011,22,36
2/1/2011,23,16
2/2/2011,0,2
2/2/2011,1,3
2/2/2011,2,4
2/2/2011,3,1
2/2/2011,4,1
2/2/2011,5,3
2/2/2011,6,18
2/2/2011,7,49
2/2/2011,8,155
2/2/2011,9,123
2/2/2011,10,61
2/2/2011,11,52
2/2/2011,12,64
2/2/2011,13,75
2/2/2011,14,63
2/2/2011,15,76
2/2/2011,16,103
2/2/2011,17,190
2/2/2011,18,182
2/2/2011,19,91
2/2/2011,20,75
2/2/2011,21,63
2/2/2011,22,40
2/2/2011,23,32
2/3/2011,0,12
2/3/2011,1,5
2/3/2011,2,2
2/3/2011,3,1
2/3/2011,5,2
2/3/2011,6,39
2/3/2011,7,87
2/3/2011,8,188
2/3/2011,9,133
2/3/2011,10,52
2/3/2011,11,64
2/3/2011,12,69
2/3/2011,13,51
2/3/2011,14,47
2/3/2011,15,60
2/3/2011,16,78
2/3/2011,17,175
2/3/2011,18,147
2/3/2011,19,96
2/3/2011,20,109
2/3/2011,21,54
2/3/2011,22,41
2/3/2011,23,38
2/4/2011,0,13
2/4/2011,1,7
2/4/2011,2,1
2/4/2011,3,1
2/4/2011,5,7
2/4/2011,6,28
2/4/2011,7,87
2/4/2011,8,220
2/4/2011,9,127
2/4/2011,10,51
2/4/2011,11,64
2/4/2011,12,86
2/4/2011,13,82
2/4/2011,14,91
2/4/2011,15,90
2/4/2011,16,99
2/4/2011,17,205
2/4/2011,18,155
2/4/2011,19,103
2/4/2011,20,71
2/4/2011,21,43
2/4/2011,22,46
2/4/2011,23,31
2/5/2011,0,39
2/5/2011,1,18
2/5/2011,2,17
2/5/2011,3,11
2/5/2011,4,8
2/5/2011,5,9
2/5/2011,6,4
2/5/2011,7,4
2/5/2011,8,10
2/5/2011,9,20
2/5/2011,10,34
2/5/2011,11,47
2/5/2011,12,52
2/5/2011,13,72
2/5/2011,14,55
2/5/2011,15,60
2/5/2011,16,71
2/5/2011,17,78
2/5/2011,18,83
2/5/2011,19,84
2/5/2011,20,69
2/5/2011,21,56
2/5/2011,22,45
2/5/2011,23,59
2/6/2011,0,39
2/6/2011,1,44
2/6/2011,2,20
2/6/2011,3,13
2/6/2011,4,2
2/6/2011,5,1
2/6/2011,6,1
2/6/2011,7,8
2/6/2011,8,23
2/6/2011,9,45
2/6/2011,10,89
2/6/2011,11,117
2/6/2011,12,174
2/6/2011,13,182
2/6/2011,14,161
2/6/2011,15,182
2/6/2011,16,157
2/6/2011,17,121
2/6/2011,18,78
2/6/2011,19,21
2/6/2011,20,26
2/6/2011,21,27
2/6/2011,22,62
2/6/2011,23,30
2/7/2011,0,15
2/7/2011,1,5
2/7/2011,2,3
2/7/2011,3,1
2/7/2011,4,2
2/7/2011,5,10
2/7/2011,6,30
2/7/2011,7,95
2/7/2011,8,230
2/7/2011,9,118
2/7/2011,10,55
2/7/2011,11,47
2/7/2011,12,66
2/7/2011,13,64
2/7/2011,14,60
2/7/2011,15,50
2/7/2011,16,114
2/7/2011,17,216
2/7/2011,18,175
2/7/2011,19,128
2/7/2011,20,88
2/7/2011,21,78
2/7/2011,22,37
2/7/2011,23,25
2/8/2011,0,10
2/8/2011,1,4
2/8/2011,2,2
2/8/2011,3,1
2/8/2011,4,3
2/8/2011,5,2
2/8/2011,6,39
2/8/2011,7,100
2/8/2011,8,243
2/8/2011,9,135
2/8/2011,10,48
2/8/2011,11,50
2/8/2011,12,65
2/8/2011,13,50
2/8/2011,14,64
2/8/2011,15,51
2/8/2011,16,83
2/8/2011,17,176
2/8/2011,18,152
2/8/2011,19,101
2/8/2011,20,56
2/8/2011,21,54
2/8/2011,22,29
2/8/2011,23,12
2/9/2011,0,17
2/9/2011,1,7
2/9/2011,2,3
2/9/2011,3,2
2/9/2011,5,7
2/9/2011,6,43
2/9/2011,7,99
2/9/2011,8,199
2/9/2011,9,123
2/9/2011,10,59
2/9/2011,11,41
2/9/2011,12,61
2/9/2011,13,69
2/9/2011,14,58
2/9/2011,15,64
2/9/2011,16,79
2/9/2011,17,166
2/9/2011,18,170
2/9/2011,19,88
2/9/2011,20,84
2/9/2011,21,83
2/9/2011,22,46
2/9/2011,23,37
2/10/2011,0,16
2/10/2011,1,7
2/10/2011,2,3
2/10/2011,4,1
2/10/2011,5,6
2/10/2011,6,26
2/10/2011,7,99
2/10/2011,8,178
2/10/2011,9,122
2/10/2011,10,35
2/10/2011,11,45
2/10/2011,12,69
2/10/2011,13,62
2/10/2011,14,48
2/10/2011,15,50
2/10/2011,16,80
2/10/2011,17,165
2/10/2011,18,160
2/10/2011,19,112
2/10/2011,20,97
2/10/2011,21,72
2/10/2011,22,51
2/10/2011,23,34
2/11/2011,0,14
2/11/2011,1,7
2/11/2011,2,3
2/11/2011,5,4
2/11/2011,6,24
2/11/2011,7,74
2/11/2011,8,216
2/11/2011,9,140
2/11/2011,10,44
2/11/2011,11,64
2/11/2011,12,71
2/11/2011,13,110
2/11/2011,14,84
2/11/2011,15,74
2/11/2011,16,125
2/11/2011,17,211
2/11/2011,18,174
2/11/2011,19,101
2/11/2011,20,63
2/11/2011,21,47
2/11/2011,22,43
2/11/2011,23,53
2/12/2011,0,30
2/12/2011,1,24
2/12/2011,2,15
2/12/2011,3,10
2/12/2011,4,4
2/12/2011,5,1
2/12/2011,6,2
2/12/2011,7,11
2/12/2011,8,30
2/12/2011,9,43
2/12/2011,10,84
2/12/2011,11,114
2/12/2011,12,120
2/12/2011,13,135
2/12/2011,14,120
2/12/2011,15,174
2/12/2011,16,145
2/12/2011,17,137
2/12/2011,18,64
2/12/2011,19,41
2/12/2011,20,40
2/12/2011,21,51
2/12/2011,22,45
2/12/2011,23,32
2/13/2011,0,39
2/13/2011,1,24
2/13/2011,2,20
2/13/2011,3,12
2/13/2011,4,2
2/13/2011,6,5
2/13/2011,7,3
2/13/2011,8,12
2/13/2011,9,47
2/13/2011,10,105
2/13/2011,11,112
2/13/2011,12,152
2/13/2011,13,154
2/13/2011,14,161
2/13/2011,15,162
2/13/2011,16,134
2/13/2011,17,125
2/13/2011,18,95
2/13/2011,19,61
2/13/2011,20,47
2/13/2011,21,51
2/13/2011,22,36
2/13/2011,23,30
2/14/2011,0,11
2/14/2011,1,7
2/14/2011,2,2
2/14/2011,3,2
2/14/2011,4,2
2/14/2011,5,3
2/14/2011,6,26
2/14/2011,7,98
2/14/2011,8,256
2/14/2011,9,130
2/14/2011,10,55
2/14/2011,11,53
2/14/2011,12,126
2/14/2011,13,120
2/14/2011,14,90
2/14/2011,15,90
2/14/2011,16,118
2/14/2011,17,243
2/14/2011,18,205
2/14/2011,19,98
2/14/2011,20,70
2/14/2011,21,43
2/14/2011,22,45
2/14/2011,23,20
2/15/2011,0,19
2/15/2011,1,5
2/15/2011,2,3
2/15/2011,4,1
2/15/2011,5,4
2/15/2011,6,30
2/15/2011,7,105
2/15/2011,8,223
2/15/2011,9,110
2/15/2011,10,52
2/15/2011,11,57
2/15/2011,12,71
2/15/2011,13,82
2/15/2011,14,79
2/15/2011,15,85
2/15/2011,16,98
2/15/2011,17,206
2/15/2011,18,212
2/15/2011,19,145
2/15/2011,20,101
2/15/2011,21,66
2/15/2011,22,41
2/15/2011,23,20
2/16/2011,0,15
2/16/2011,1,9
2/16/2011,3,1
2/16/2011,4,1
2/16/2011,5,5
2/16/2011,6,33
2/16/2011,7,108
2/16/2011,8,230
2/16/2011,9,124
2/16/2011,10,69
2/16/2011,11,66
2/16/2011,12,86
2/16/2011,13,93
2/16/2011,14,82
2/16/2011,15,117
2/16/2011,16,122
2/16/2011,17,255
2/16/2011,18,222
2/16/2011,19,161
2/16/2011,20,118
2/16/2011,21,92
2/16/2011,22,73
2/16/2011,23,33
2/17/2011,0,17
2/17/2011,1,6
2/17/2011,2,6
2/17/2011,3,4
2/17/2011,4,4
2/17/2011,5,12
2/17/2011,6,47
2/17/2011,7,126
2/17/2011,8,285
2/17/2011,9,179
2/17/2011,10,88
2/17/2011,11,90
2/17/2011,12,101
2/17/2011,13,123
2/17/2011,14,81
2/17/2011,15,106
2/17/2011,16,146
2/17/2011,17,274
2/17/2011,18,222
2/17/2011,19,175
2/17/2011,20,139
2/17/2011,21,124
2/17/2011,22,76
2/17/2011,23,44
2/18/2011,0,32
2/18/2011,1,8
2/18/2011,2,7
2/18/2011,3,8
2/18/2011,4,1
2/18/2011,5,7
2/18/2011,6,50
2/18/2011,7,116
2/18/2011,8,272
2/18/2011,9,169
2/18/2011,10,95
2/18/2011,11,113
2/18/2011,12,185
2/18/2011,13,176
2/18/2011,14,191
2/18/2011,15,172
2/18/2011,16,232
2/18/2011,17,327
2/18/2011,18,224
2/18/2011,19,162
2/18/2011,20,124
2/18/2011,21,72
2/18/2011,22,107
2/18/2011,23,77
2/19/2011,0,29
2/19/2011,1,31
2/19/2011,2,17
2/19/2011,3,7
2/19/2011,4,3
2/19/2011,5,3
2/19/2011,6,6
2/19/2011,7,22
2/19/2011,8,45
2/19/2011,9,55
2/19/2011,10,106
2/19/2011,11,123
2/19/2011,12,119
2/19/2011,13,155
2/19/2011,14,196
2/19/2011,15,171
2/19/2011,16,120
2/19/2011,17,127
2/19/2011,18,88
2/19/2011,19,59
2/19/2011,20,47
2/19/2011,21,33
2/19/2011,22,44
2/19/2011,23,29
2/20/2011,0,17
2/20/2011,1,16
2/20/2011,2,17
2/20/2011,3,18
2/20/2011,4,1
2/20/2011,6,2
2/20/2011,7,2
2/20/2011,8,24
2/20/2011,9,55
2/20/2011,10,104
2/20/2011,11,161
2/20/2011,12,182
2/20/2011,13,198
2/20/2011,14,212
2/20/2011,15,168
2/20/2011,16,147
2/20/2011,17,146
2/20/2011,18,101
2/20/2011,19,42
2/20/2011,20,42
2/20/2011,21,56
2/20/2011,22,47
2/20/2011,23,54
2/21/2011,0,37
2/21/2011,1,13
2/21/2011,2,4
2/21/2011,3,5
2/21/2011,4,1
2/21/2011,5,3
2/21/2011,6,8
2/21/2011,7,19
2/21/2011,8,63
2/21/2011,9,57
2/21/2011,10,81
2/21/2011,11,90
2/21/2011,12,93
2/21/2011,13,103
2/21/2011,14,116
2/21/2011,15,87
2/21/2011,16,56
2/21/2011,17,80
2/21/2011,18,66
2/21/2011,19,49
2/21/2011,20,29
2/21/2011,21,34
2/21/2011,22,11
2/21/2011,23,2
2/22/2011,6,7
2/22/2011,7,40
2/22/2011,8,114
2/22/2011,9,106
2/22/2011,10,44
2/22/2011,11,50
2/22/2011,12,55
2/22/2011,13,55
2/22/2011,14,58
2/22/2011,15,69
2/22/2011,16,86
2/22/2011,17,196
2/22/2011,18,167
2/22/2011,19,118
2/22/2011,20,105
2/22/2011,21,82
2/22/2011,22,77
2/22/2011,23,21
2/23/2011,0,6
2/23/2011,1,4
2/23/2011,2,1
2/23/2011,3,2
2/23/2011,5,8
2/23/2011,6,36
2/23/2011,7,96
2/23/2011,8,235
2/23/2011,9,139
2/23/2011,10,51
2/23/2011,11,69
2/23/2011,12,67
2/23/2011,13,87
2/23/2011,14,78
2/23/2011,15,72
2/23/2011,16,94
2/23/2011,17,222
2/23/2011,18,209
2/23/2011,19,141
2/23/2011,20,109
2/23/2011,21,91
2/23/2011,22,61
2/23/2011,23,39
2/24/2011,0,11
2/24/2011,1,7
2/24/2011,2,4
2/24/2011,3,2
2/24/2011,5,4
2/24/2011,6,58
2/24/2011,7,104
2/24/2011,8,252
2/24/2011,9,137
2/24/2011,10,57
2/24/2011,11,79
2/24/2011,12,95
2/24/2011,13,88
2/24/2011,14,69
2/24/2011,15,63
2/24/2011,16,71
2/24/2011,17,177
2/24/2011,18,137
2/24/2011,19,115
2/24/2011,20,89
2/24/2011,21,83
2/24/2011,22,55
2/24/2011,23,50
2/25/2011,0,9
2/25/2011,1,10
2/25/2011,2,3
2/25/2011,3,2
2/25/2011,5,6
2/25/2011,6,11
2/25/2011,7,35
2/25/2011,8,73
2/25/2011,9,114
2/25/2011,10,49
2/25/2011,11,59
2/25/2011,12,115
2/25/2011,13,83
2/25/2011,14,85
2/25/2011,15,55
2/25/2011,16,102
2/25/2011,17,189
2/25/2011,18,157
2/25/2011,19,90
2/25/2011,20,62
2/25/2011,21,63
2/25/2011,22,50
2/25/2011,23,39
2/26/2011,0,28
2/26/2011,1,27
2/26/2011,2,12
