id,country,designation,points,price,province,region,taster_name,taster_twitter_handle,variety,winery
22,Italy,Ficiligno,87,19,Sicily & Sardinia,Sicilia,Kerin O’Keefe,@kerinokeefe,White Blend,Baglio di Pianetto
23,US,Signature Selection,87,22,California,Paso Robles,Matt Kettmann,@mattkettmann,Merlot,Bianchi
24,Italy,Aynat,87,35,Sicily & Sardinia,Sicilia,Kerin O’Keefe,@kerinokeefe,Nero d'Avola,Canicattì
25,US,King Ridge Vineyard,87,69,California,Sonoma Coast,Virginie Boone,@vboone,Pinot Noir,Castello di Amorosa
26,Italy,Dalila,87,13,Sicily & Sardinia,Terre Siciliane,Kerin O’Keefe,@kerinokeefe,White Blend,Stemmari
27,Italy,,87,10,Sicily & Sardinia,Terre Siciliane,Kerin O’Keefe,@kerinokeefe,Nero d'Avola,Stemmari
28,Italy,Mascaria Barricato,87,17,Sicily & Sardinia,Cerasuolo di Vittoria,Kerin O’Keefe,@kerinokeefe,Red Blend,Terre di Giurfo
29,US,,86,16,California,Clarksburg,Virginie Boone,@vboone,Chenin Blanc,Clarksburg Wine Company
30,France,Nouveau,86,,Beaujolais,Beaujolais-Villages,Roger Voss,@vossroger,Gamay,Domaine de la Madone
31,Italy,Calanìca Nero d'Avola-Merlot,86,,Sicily & Sardinia,Sicilia,,,Red Blend,Duca di Salaparuta
32,Italy,Calanìca Grillo-Viognier,86,,Sicily & Sardinia,Sicilia,,,White Blend,Duca di Salaparuta
33,US,Puma Springs Vineyard,86,50,California,Dry Creek Valley,,,Red Blend,Envolve
34,US,,86,20,California,Sonoma Valley,,,Sauvignon Blanc,Envolve
35,US,Hyland,86,50,Oregon,McMinnville,Paul Gregutt,@paulgwine ,Pinot Noir,Erath
36,Chile,Estate,86,15,Colchagua Valley,,Michael Schachner,@wineschach,Viognier-Chardonnay,Estampa
37,Italy,Missoni,86,21,Sicily & Sardinia,Sicilia,,,Cabernet Sauvignon,Feudi del Pisciotto
38,Italy,I Tratturi,86,11,Southern Italy,Puglia,,,Primitivo,Feudi di San Marzano
39,Italy,Purato Made With Organic Grapes,86,12,Sicily & Sardinia,Sicilia,,,Nero d'Avola,Feudo di Santa Tresa
40,Italy,,86,17,Sicily & Sardinia,Sicilia,,,Catarratto,Feudo Montoni
41,US,,86,22,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Hawkins Cellars
42,France,Nouveau,86,9,Beaujolais,Beaujolais,Roger Voss,@vossroger,Gamay,Henry Fessy
43,US,,86,14,California,Paso Robles,,,Sauvignon Blanc,Robert Hall
44,Chile,,86,9,Maule Valley,,Michael Schachner,@wineschach,Merlot,Sundance
45,US,#SocialSecret,86,40,Virginia,Virginia,,,Red Blend,Tarara
46,Italy,Sallier de la Tour,86,13,Sicily & Sardinia,Sicilia,,,Inzolia,Tasca d'Almerita
47,US,,86,13,California,Lake County,,,Riesling,The White Knight
48,US,,86,16,Virginia,Monticello,,,Sauvignon Blanc,Trump
49,France,Eté Indien,86,14,Beaujolais,Brouilly,Roger Voss,@vossroger,Gamay,Vignerons de Bel Air
50,Italy,Scialo,86,,Sicily & Sardinia,Sicilia,,,Red Blend,Viticultori Associati Canicatti
51,Chile,Gran Reserva,85,22,Colchagua Valley,,Michael Schachner,@wineschach,Petit Verdot,Casa Silva
52,Italy,Dolia,85,14,Sicily & Sardinia,Monica di Sardegna,,,Monica,Cantine di Dolianova
53,France,La Fleur d'Amélie,85,15,Bordeaux,Bordeaux Blanc,Roger Voss,@vossroger,Bordeaux-style White Blend,Château de Sours
54,Italy,Rosso,85,,Sicily & Sardinia,Sicilia,,,Red Blend,Corvo
55,US,Estate Bottled,85,30,California,Napa Valley,,,Chardonnay,RustRidge
56,US,,85,14,California,North Coast,Virginie Boone,@vboone,Chardonnay,Souverain
57,Italy,Sallier de la Tour,85,13,Sicily & Sardinia,Sicilia,,,Grillo,Tasca d'Almerita
58,Chile,Reserve,85,13,Maipo Valley,,Michael Schachner,@wineschach,Pinot Noir,Tres Palacios
59,US,,86,55,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Malbec,Mellisoni
60,US,Estate,86,100,California,Napa Valley,Virginie Boone,@vboone,Cabernet Sauvignon,Okapi
61,Italy,Prugneto,86,17,Central Italy,Romagna,Kerin O’Keefe,@kerinokeefe,Sangiovese,Podere dal Nespoli
62,US,Alder Ridge Vineyard,86,25,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Cabernet Franc,Ram
63,France,Brut Rosé,86,58,Champagne,Champagne,Roger Voss,@vossroger,Champagne Blend,Roland Champion
64,US,Golden Horn,86,26,California,Santa Ynez Valley,Matt Kettmann,@mattkettmann,Sauvignon Blanc,Sevtap
65,France,,86,24,Burgundy,Chablis,Roger Voss,@vossroger,Chardonnay,Simonnet-Febvre
66,France,,86,15,Burgundy,Mâcon-Milly Lamartine,Roger Voss,@vossroger,Chardonnay,Vignerons des Terres Secrètes
67,US,Inspired,86,46,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Bordeaux-style Red Blend,Basel Cellars
68,US,,86,12,California,California,Jim Gordon,@gordone_cellars,Red Blend,Cocobon
69,France,Brut Rosé,86,55,Champagne,Champagne,Roger Voss,@vossroger,Champagne Blend,Collet
70,US,,86,12,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Chardonnay,Drumheller
71,US,Old Vine,86,40,California,Alexander Valley,Virginie Boone,@vboone,Cabernet Sauvignon,Eco Terreno
72,Italy,Daginestra,86,32,Southern Italy,Aglianico del Vulture,Kerin O’Keefe,@kerinokeefe,Aglianico,Grifalco
73,US,Bella Vetta Vineyard,86,75,California,Howell Mountain,Virginie Boone,@vboone,Cabernet Sauvignon,Hindsight
74,US,Estate Grown,86,55,California,Calistoga,Virginie Boone,@vboone,Petite Sirah,Hindsight
75,US,The Cypher,86,75,California,Napa Valley,Virginie Boone,@vboone,Bordeaux-style Red Blend,Mulvane Wine Co.
76,Germany,,86,9,Rheinhessen,,Anna Lee C. Iijima,,Riesling,Schmitt Söhne
77,Australia,Made With Organic Grapes,86,18,South Australia,South Australia,Joe Czerwinski,@JoeCz,Chardonnay,Yalumba
78,US,Rosé of,86,25,Oregon,Eola-Amity Hills,Paul Gregutt,@paulgwine ,Pinot Noir,Z'IVO
79,Portugal,Bridão,86,,Tejo,,Roger Voss,@vossroger,Touriga Nacional,Adega Cooperativa do Cartaxo
80,Chile,Special Release Reserva,86,12,Rapel Valley,,Michael Schachner,@wineschach,Carmenère,Aresti
81,Spain,,86,16,Galicia,Rías Baixas,Michael Schachner,@wineschach,Albariño,Spyro
82,France,La Réserve,86,11,France Other,Vin de France,Roger Voss,@vossroger,Petit Manseng,Lionel Osmin & Cie
83,Australia,Jester Sangiovese,86,20,South Australia,McLaren Vale,Joe Czerwinski,@JoeCz,Rosé,Mitolo
84,US,Classic,86,24,California,Napa Valley,Virginie Boone,@vboone,Zinfandel,Napa Cellars
85,Germany,Undone Dry,86,10,Rheinhessen,,Anna Lee C. Iijima,,Riesling,P.J. Valckenberg
86,US,,86,20,Washington,Ancient Lakes,Sean P. Sullivan,@wawinereport,Albariño,Palencia
87,US,Blau Vineyards,86,55,California,Knights Valley,Virginie Boone,@vboone,Merlot,Passaggio
88,Italy,Le Mandorle Riserva,86,29,Tuscany,Vernaccia di San Gimignano,Kerin O’Keefe,@kerinokeefe,Vernaccia,Poggio Alloro
89,Italy,,88,19,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,Rosato,Fattoria Sardi
90,US,Siena,88,23,California,Sonoma County,Virginie Boone,@vboone,Red Blend,Ferrari-Carano
91,US,,88,18,California,Sonoma Coast,Virginie Boone,@vboone,Pinot Gris,Folie à Deux
92,US,Magnificat,88,55,California,Napa Valley,Virginie Boone,@vboone,Meritage,Franciscan
93,Austria,,88,12,Burgenland,,Anne Krebiehl MW,@AnneInVino,Grüner Veltliner,Fuchs
94,US,Grand Klasse Reserve Lawrence Vineyards,88,22,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Viognier,Gård
95,France,,88,20,Beaujolais,Juliénas,Roger Voss,@vossroger,Gamay,Henry Fessy
96,France,,88,18,Beaujolais,Régnié,Roger Voss,@vossroger,Gamay,Henry Fessy
97,US,Ingle Vineyard,88,20,New York,Finger Lakes,Anna Lee C. Iijima,,Riesling,Heron Hill
98,Italy,Dono Riserva,88,30,Tuscany,Morellino di Scansano,Kerin O’Keefe,@kerinokeefe,Sangiovese,Serpaia di Endrizzi
99,US,Intreccio Library Selection,88,75,California,Napa Valley,Virginie Boone,@vboone,Bordeaux-style Red Blend,Soquel Vineyards
100,US,,88,18,New York,Finger Lakes,Anna Lee C. Iijima,,Pinot Gris,Ventosa
101,US,Red Oak Vineyard,87,20,New York,Finger Lakes,Anna Lee C. Iijima,,Riesling,Lamoreaux Landing
102,US,Yellow Dog Vineyard,87,20,New York,Finger Lakes,Anna Lee C. Iijima,,Riesling,Lamoreaux Landing
103,Chile,Single Vineyard Falaris Hill,87,18,Leyda Valley,,Michael Schachner,@wineschach,Chardonnay,Leyda
104,Italy,Nativo,87,16,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,Red Blend,Madonna Alta
105,Italy,Villa Antinori,87,14,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,White Blend,Marchesi Antinori
106,Italy,Castiglioni,87,30,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,Red Blend,Marchesi de' Frescobaldi
107,Italy,Ammiraglia Massovivo,87,18,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,Vermentino,Marchesi de' Frescobaldi
108,US,J.D. Hurley,87,26,California,Santa Clara Valley,Matt Kettmann,@mattkettmann,Zinfandel,Martin Ranch
109,Italy,Le Volte,87,30,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,Red Blend,Ornellaia
110,France,Les Quartelets,87,23,Beaujolais,Brouilly,Roger Voss,@vossroger,Gamay,Pardon et Fils
111,US,Wolff Vineyard,87,85,California,Yountville,Virginie Boone,@vboone,Cabernet Sauvignon,Piña
112,Italy,Semifonte,87,15,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,Red Blend,Podere Ciona
113,Italy,Poetico,87,19,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,White Blend,Poggioventoso
114,US,BDX,87,18,California,Paso Robles,Matt Kettmann,@mattkettmann,Bordeaux-style Red Blend,Pull
115,US,,87,18,California,Paso Robles,Matt Kettmann,@mattkettmann,Chardonnay,Pull
116,US,Camp 4 Vineyard,87,25,California,Santa Ynez Valley,Matt Kettmann,@mattkettmann,Grenache Blanc,R2
117,US,Estate,87,44,California,Central Coast,Matt Kettmann,@mattkettmann,Syrah,Rideau
118,Italy,Toscano,87,80,Tuscany,Toscana,Kerin O’Keefe,@kerinokeefe,Red Blend,Tenuta Forconi
119,France,Schoenenbourg Grand Cru Vendanges Tardives,92,80,Alsace,Alsace,,,Riesling,Dopff & Irion
120,Italy,Bricco Rocche Prapó,92,70,Piedmont,Barolo,,,Nebbiolo,Ceretto
121,US,Stuhlmuller Vineyard,92,36,California,Alexander Valley,,,Chardonnay,Matrix
122,US,Rockpile Cemetary Vineyard,92,39,California,Rockpile,,,Zinfandel,Mauritson
123,Australia,Parson's Flat,92,40,South Australia,Padthaway,Joe Czerwinski,@JoeCz,Shiraz-Cabernet Sauvignon,Henry's Drive Vignerons
124,US,,92,45,California,Napa Valley,,,Cabernet Sauvignon,Silverado
125,South Africa,Cabernet Sauvignon Reserve,91,45,Stellenbosch,,Roger Voss,@vossroger,Cabernet Sauvignon,Le Riche
126,France,Vendages Tardives,91,48,Alsace,Alsace,,,Gewürztraminer,Pierre Sparr
127,France,Alsace One,91,13,Alsace,Alsace,,,White Blend,Pierre Sparr
128,France,,91,17,Alsace,Alsace,,,Pinot Blanc,Kuentz-Bas
129,South Africa,Philosophers' Stone,91,25,Stellenbosch,,,,Bordeaux-style Red Blend,Camberley
130,Italy,Bricco Rocche Brunate,91,70,Piedmont,Barolo,,,Nebbiolo,Ceretto
131,France,Gentil,91,20,Alsace,Alsace,,,Alsace white blend,Dopff & Irion
132,South Africa,Grand Reserve,91,30,Simonsberg-Stellenbosch,,Roger Voss,@vossroger,Cabernet Sauvignon,Delheim
133,Italy,,91,68,Piedmont,Barolo,,,Nebbiolo,Poderi Luigi Einaudi
134,US,,91,78,California,Napa Valley,,,Cabernet Sauvignon,Clark-Clauden
135,Italy,Sorano,91,60,Piedmont,Barolo,,,Nebbiolo,Giacomo Ascheri
136,France,,91,50,Bordeaux,Saint-Émilion,Joe Czerwinski,@JoeCz,Bordeaux-style Red Blend,Lassègue
137,South Africa,Hope Marguerite,90,,Walker Bay,,Roger Voss,@vossroger,Chenin Blanc,Beaumont
138,France,Crustacés,90,10,Alsace,Alsace,,,Alsace white blend,Dopff & Irion
139,France,Cuvée Jerémy Sélection de Grains Nobles,90,112,Alsace,Alsace,,,Pinot Gris,Kuentz-Bas
140,Italy,Costa Bruna,90,26,Piedmont,Barbera d'Alba,,,Barbera,Poderi Colla
141,Italy,Vigna dei Pola,90,45,Piedmont,Barolo,,,Nebbiolo,Giacomo Ascheri
142,US,,90,17,California,Santa Lucia Highlands,,,Riesling,Banyan
143,France,Hunawihr Clos Windsbuhl,90,84,Alsace,Alsace,,,Pinot Gris,Domaine Zind-Humbrecht
144,US,K Block,91,85,California,Spring Mountain District,Virginie Boone,@vboone,Cabernet Sauvignon,Terra Valentine
145,US,Guidotti Vineyard,91,64,California,Santa Lucia Highlands,Matt Kettmann,@mattkettmann,Pinot Noir,Testarossa
146,US,Family Reserve,91,68,California,Santa Ynez Valley,Matt Kettmann,@mattkettmann,Cabernet Sauvignon,Vincent Vineyards
147,US,Family Reserve,91,68,California,Santa Ynez Valley,Matt Kettmann,@mattkettmann,Cabernet Sauvignon,Vincent Vineyards
148,Germany,Dry,91,16,Rheinhessen,,Anna Lee C. Iijima,,Riesling,Weingut Liebfrauenstift
149,US,Destruction Level,91,35,California,Monterey,Matt Kettmann,@mattkettmann,Rhône-style Red Blend,Wrath
150,US,Ruth's Reach,91,25,California,Napa Valley,Virginie Boone,@vboone,Cabernet Sauvignon,Yardstick
151,Portugal,Gerações Colheita Seleccionada Branco,91,30,Alentejano,,Roger Voss,@vossroger,Portuguese White,Herdade Grande
152,US,Estate Reserve,91,55,California,Carmel Valley,Matt Kettmann,@mattkettmann,Pinot Noir,Albatross Ridge
153,US,Old 900,91,46,California,Paso Robles,Matt Kettmann,@mattkettmann,Syrah,Alta Colina
154,Spain,Single Vineyard Estate Bottled,91,50,Central Spain,Dominio de Valdepusa,Michael Schachner,@wineschach,Graciano,Marques de Griñon
155,US,,91,36,California,Santa Cruz Mountains,Matt Kettmann,@mattkettmann,Syrah,Big Basin
156,Germany,Graacher Himmelreich Spätlese,91,14,Mosel,,Anna Lee C. Iijima,,Riesling,Carl Graff
157,Portugal,Grande Reserva Tinto,91,26,Alentejano,,Roger Voss,@vossroger,Portuguese Red,Casa Santa Vitória
158,Italy,Bellezza Gran Selezione,91,38,Tuscany,Chianti Classico,Kerin O’Keefe,@kerinokeefe,Sangiovese,Castello di Gabbiano
159,Italy,Filo di Seta,91,,Tuscany,Brunello di Montalcino,Kerin O’Keefe,@kerinokeefe,Sangiovese,Castello Romitorio
160,France,,91,35,Southwest France,Cahors,Roger Voss,@vossroger,Malbec,Château Vincens
161,US,Mr. Nibbles,91,35,California,Paso Robles,Matt Kettmann,@mattkettmann,Red Blend,Chronic Cellars
162,US,Claiborne Vineyard,91,28,California,Edna Valley,Matt Kettmann,@mattkettmann,Riesling,Claiborne & Churchill
163,France,Hospices Civils de Romanèche Thurins,91,,Beaujolais,Moulin-à-Vent,Roger Voss,@vossroger,Gamay,Collin-Bourisset
164,Chile,Condesa Real Premium Blend,91,29,Aconcagua Valley,,Michael Schachner,@wineschach,Red Blend,Conde de Velázquez
165,Chile,20 Barrels,91,32,Maipo Valley,,Michael Schachner,@wineschach,Cabernet Sauvignon,Cono Sur
166,France,Charles de Batz,91,25,Southwest France,Madiran,Roger Voss,@vossroger,Tannat-Cabernet,Domaine Berthoumieu
167,US,,91,28,California,Paso Robles,Matt Kettmann,@mattkettmann,Cabernet Franc,Dracaena
168,US,Rector Creek Vineyard,91,95,California,Napa Valley,Virginie Boone,@vboone,Merlot,Duckhorn
169,US,Dutton Ranch,91,44,California,Russian River Valley,Virginie Boone,@vboone,Pinot Noir,Dutton-Goldfield
170,Germany,Brauneberger Feinherb,91,30,Mosel,,Anna Lee C. Iijima,,Riesling,Fritz Haag
171,Germany,,91,22,Mosel,,Anna Lee C. Iijima,,Riesling,Fritz Haag
172,Chile,The 7th Generation Gran Reserva Estate Bottled,91,20,Loncomilla Valley,,Michael Schachner,@wineschach,Cabernet Sauvignon,G7
173,US,,91,38,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Le Cadeau
174,New Zealand,,88,19,Marlborough,,Joe Czerwinski,@JoeCz,Sauvignon Blanc,Stoneleigh
175,Italy,De Silva,88,25,Northeastern Italy,Alto Adige,,,Sauvignon,Tenuta Peter Sölva & Söhne
176,Chile,Unusual Cabernet-Shiraz-Zinfandel,88,50,Maipo Valley,,Michael Schachner,@wineschach,Red Blend,TerraMater
177,Italy,,88,22,Tuscany,Chianti Classico,,,Sangiovese,Isole e Olena
178,US,Jack London Vineyard,88,25,California,Sonoma Valley,,,Syrah,Kenwood
179,France,Les Vénérables Vieilles Vignes,88,27,Burgundy,Chablis,Roger Voss,@vossroger,Chardonnay,La Chablisienne
180,US,Lucia Highland Vineyard,88,23,California,Santa Lucia Highlands,,,Chardonnay,Manzoni
181,US,Mission Ranch,88,36,California,Arroyo Seco,,,Pinot Noir,McIntyre Vineyards
182,Italy,M. Vigna,88,,Tuscany,Brunello di Montalcino,,,Sangiovese Grosso,Abbadia Ardenga
183,Argentina,,88,12,Other,Salta,Michael Schachner,@wineschach,Torrontés,Alamos
184,US,,88,35,California,Sonoma Coast,,,Chardonnay,Anaba
185,Chile,Envero Gran Reserva,88,15,Colchagua Valley,,Michael Schachner,@wineschach,Carmenère,Apaltagua
186,US,Wiley Vineyard,88,40,California,Anderson Valley,,,Pinot Noir,Harrington
187,Italy,Montenero,88,48,Sicily & Sardinia,Sicilia,,,Red Blend,Abbazia Santa Anastasia
188,Chile,Casa La Joya Reserve,88,11,Colchagua Valley,,Michael Schachner,@wineschach,Merlot,Viña Bisquertt
189,Chile,Natura,87,11,Casablanca Valley,,Michael Schachner,@wineschach,Chardonnay,Emiliana
190,Italy,Campole,87,26,Southern Italy,Campania,,,Red Blend,Fattoria Alois
191,Australia,The Trial of John Montford,87,30,South Australia,Padthaway,Joe Czerwinski,@JoeCz,Cabernet Sauvignon,Henry's Drive Vignerons
192,Italy,Le Pietre Santambrogio,87,20,Veneto,Rosso del Veronese,,,Red Blend,Aldegheri
193,France,,87,35,Burgundy,St.-Romain,Roger Voss,@vossroger,Chardonnay,Bertrand Ambroise
194,Italy,,87,,Tuscany,Chianti Classico,,,Sangiovese,Campomaggio
195,Italy,Riserva,87,35,Tuscany,Vino Nobile di Montepulciano,,,Prugnolo Gentile,Carpineto
196,Italy,Pancole,87,18,Tuscany,Vernaccia di San Gimignano,,,Vernaccia,Cesani
197,South Africa,21 Gables,90,23,Western Cape,,Lauren Buzzeo,@laurbuzz,Chenin Blanc,Spier
198,US,Four Soil Mélange,90,60,California,Napa Valley,Virginie Boone,@vboone,Cabernet Sauvignon,Sequum
199,US,Rising Starr Estate Bottled,90,28,California,Nevada County,Jim Gordon,@gordone_cellars,Cabernet Franc,Sierra Starr
200,Italy,Riserva,90,,Tuscany,Brunello di Montalcino,Kerin O’Keefe,@kerinokeefe,Sangiovese,Tenuta di Sesta
201,Italy,Nova Domus Riserva,90,62,Northeastern Italy,Alto Adige,Kerin O’Keefe,@kerinokeefe,White Blend,Terlan
202,Israel,,90,50,Judean Hills,,Mike DeSimone,@worldwineguys,Syrah,Yatir
203,Portugal,Montes Claros Garrafeira,90,28,Alentejo,,Roger Voss,@vossroger,Portuguese Red,Adega Cooperativa de Borba
204,US,Gesture,90,30,California,Paso Robles,Matt Kettmann,@mattkettmann,G-S-M,J. Lohr
205,US,October Night,90,25,California,Arroyo Seco,Matt Kettmann,@mattkettmann,Chardonnay,J. Lohr
206,US,,90,25,California,Napa Valley,Virginie Boone,@vboone,Cabernet Sauvignon,Courtney Benham
207,US,Home Ranch Teldeschi Vineyards Century Old Vine,90,32,California,Dry Creek Valley,Virginie Boone,@vboone,Zinfandel,Del Carlo Winery
208,South Africa,Reserve,90,40,Coastal Region,,Lauren Buzzeo,@laurbuzz,White Blend,Delaire Graff
209,France,,90,16,Rhône Valley,Côtes du Rhône,Joe Czerwinski,@JoeCz,Rhône-style Red Blend,Domaine St Pierre
210,South Africa,,90,20,Western Cape,,Lauren Buzzeo,@laurbuzz,Chardonnay,Eikendal
211,France,Les Christins,90,32,Rhône Valley,Vacqueyras,Joe Czerwinski,@JoeCz,Rhône-style Red Blend,Famille Perrin
212,Spain,Fermentado en Barrica,90,40,Northern Spain,Rueda,Michael Schachner,@wineschach,Verdejo,Matarromera
213,US,1105,90,48,California,Paso Robles,Matt Kettmann,@mattkettmann,Red Blend,MCV
214,US,Verah,90,36,California,Dry Creek Valley,Virginie Boone,@vboone,Rhône-style Red Blend,Mounts
215,Israel,French Blend,90,80,Galilee,,Mike DeSimone,@worldwineguys,Bordeaux-style Red Blend,Or Haganuz
216,Italy,,90,57,Tuscany,Brunello di Montalcino,Kerin O’Keefe,@kerinokeefe,Sangiovese,Podere Scopetone
217,Portugal,,90,20,Beira Atlantico,,Roger Voss,@vossroger,Portuguese Red,Quinta de Foz de Arouce
218,US,,90,20,California,Napa Valley,Virginie Boone,@vboone,Fumé Blanc,Robert Mondavi
219,Hungary,Megyer Dry,90,36,Tokaj,,Jeff Jenssen,@worldwineguys,Furmint,Samuel Tinon
220,US,,90,40,California,Sonoma Coast,Virginie Boone,@vboone,Chardonnay,Sixteen by Twenty
221,Italy,Passion Riserva,90,40,Northeastern Italy,Alto Adige,Kerin O’Keefe,@kerinokeefe,Pinot Bianco,St. Pauls
222,Italy,Trentennale,90,,Tuscany,Brunello di Montalcino,Kerin O’Keefe,@kerinokeefe,Sangiovese,Talenti
223,Italy,,90,,Northeastern Italy,Alto Adige,Kerin O’Keefe,@kerinokeefe,Pinot Bianco,Terlan
224,Argentina,Lunta,90,22,Mendoza Province,Luján de Cuyo,Michael Schachner,@wineschach,Malbec,Mendel
225,South Africa,,90,25,Stellenbosch,,Lauren Buzzeo,@laurbuzz,Chardonnay,Oldenburg
226,South Africa,,90,20,Stellenbosch,,Lauren Buzzeo,@laurbuzz,Chenin Blanc,Oldenburg
227,US,Grace House,85,15,New York,Finger Lakes,,,Pinot Noir,Wagner
228,US,Semi-Dry,85,14,New York,Cayuga Lake,,,Riesling,Treleaven
229,US,Costa Del Sol,85,18,California,Napa Valley,,,Red Blend,Benessere
230,US,,85,16,New York,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Gewürztraminer,Bloomer Creek
231,Argentina,,85,10,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Bonarda,Andean Sky
232,Australia,Red Belly Black,85,12,South Australia,South Australia,,,Shiraz,Angove's
233,US,Reserve,85,28,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Silvan Ridge
234,Italy,Cerasuolo Rosè,85,10,Central Italy,Montepulciano d'Abruzzo,,,Montepulciano,Talamonti
235,US,Thompson Vineyard,85,49,California,Santa Barbara County,,,Syrah,Testarossa
236,US,Kiss Ridge Vineyard,85,85,California,Diamond Mountain District,,,Cabernet Sauvignon,Meeker
237,Italy,,85,18,Central Italy,San Marino,,,Moscato,Consorzio Vini Tipici di San Marino
238,Australia,The Derelict Vineyard,85,29,South Australia,McLaren Vale,Joe Czerwinski,@JoeCz,Grenache,D'Arenberg
239,US,,85,36,California,Mendocino,,,Cabernet Sauvignon,Dogwood
240,France,,85,9,Southwest France,Vin de Pays des Côtes de Gascogne,Roger Voss,@vossroger,Ugni Blanc-Colombard,Domaine du Tariquet
241,US,,85,34,California,Napa Valley,,,Sangiovese,Falcor
242,US,Reserve Selection,85,15,California,Russian River Valley,,,Chardonnay,Hayman & Hill
243,US,Blanc de Blanc,85,30,New York,Finger Lakes,,,Chardonnay,Hermann J. Wiemer
244,Spain,Herederos de François Lurton Villafrance de Duero,85,13,Northern Spain,Vino de la Tierra de Castilla y León,Michael Schachner,@wineschach,Red Blend,J. & F. Lurton
245,Argentina,Reserve,85,12,Other,San Juan,Michael Schachner,@wineschach,Chardonnay,Finca Las Moras
246,Australia,Destinations,85,15,South Australia,Adelaide Hills,,,Sauvignon Blanc,Long Flat
247,US,Reserve,85,25,California,Sonoma Mountain,,,Merlot,Work
248,US,Estate Single Vineyard,85,45,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Amity
249,US,Petit Verdot-Merlot,85,18,Virginia,Monticello,,,Bordeaux-style Red Blend,Autumn Hill
250,US,Estate,85,49,California,Alexander Valley,,,Cabernet Sauvignon,Blue Rock
