AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
-4.0106,1031,53.134,4.1835,35.637,1099.9,521.7,175.01,14.752,1.5993,58.517
-4.3625,1031.8,55.276,4.1315,35.184,1100,523.18,174.34,14.73,1.5038,58.695
-4.7684,1032.2,55.069,4.1463,35.282,1100.1,522.67,174.88,14.705,1.8185,59.708
-5.0266,1032.5,55.087,4.1166,35.055,1100,523.12,174.63,14.75,2.4862,61.472
-4.938,1033.4,55.609,4.2813,36.573,1100,518.3,177.49,15.039,2.6486,59.26
-5.0675,1034.2,56.755,4.1073,34.732,1099.8,524.19,173.67,14.636,2.6749,62.076
-5.4155,1034.6,58.816,4.0521,34.179,1099.9,525.8,172.89,14.492,2.7617,63.743
-5.5667,1034.8,59.539,4.1451,35.162,1100,522.62,174.91,14.751,2.8223,62.329
-5.7711,1035.1,61.242,2.86,24.29,1079.1,550.39,137.78,11.936,3.703,90.537
-5.5819,1035.5,57.123,2.8607,23.679,1060.6,538.1,133.95,11.77,7.7312,81.922
-5.7349,1035.6,57.403,2.5069,20.538,1024.9,527.72,115.31,10.777,13.798,80.947
-5.785,1035.3,59.661,2.6439,21.697,1060.5,545.29,127.98,11.388,6.7421,87.814
-5.82,1035.6,60.358,2.7682,22.479,1074,549.98,133.81,11.548,4.051,86.339
-5.9793,1035.7,62.049,2.8478,23.209,1078.9,549.6,137.51,11.788,3.1689,80.263
-6.2348,1035.8,63.962,4.2868,36.2,1099.7,519.5,176.91,14.899,2.2209,53.308
-5.8189,1036.3,64.9,4.2722,36.002,1100,519.89,176.71,14.911,1.4626,55.001
-4.9653,1036.4,63.518,4.2771,36.035,1100,519.76,176.25,14.945,1.3533,54.915
-3.9215,1036.4,61.696,4.2341,35.562,1100,521.58,174.64,14.822,1.5254,57.459
-3.0217,1036.3,57.921,4.233,35.467,1099.9,522.06,173.94,14.762,3.1926,66.41
-2.2409,1035.7,54.374,4.2557,35.511,1100.1,522.11,173.47,14.724,4.0948,69.878
-1.4926,1035.3,52.331,4.2597,35.514,1100,522.48,172.91,14.758,3.2771,65.348
-1.0018,1035.4,50.034,4.2308,35.245,1100,523.35,172.16,14.64,2.6477,61.383
-1.051,1035.5,50.403,4.2712,35.582,1100,522.21,172.91,14.776,2.1929,59.289
-1.4086,1035.8,51.721,4.2906,35.677,1099.9,521.52,173.57,14.842,3.0832,61.519
-1.9402,1036,54.925,4.3121,35.893,1099.9,521.15,174.22,14.836,1.7114,57.337
-2.9167,1036.3,58.818,4.2604,35.636,1100.1,521.63,174.53,14.79,0.80254,56.37
-3.816,1036.5,62.975,4.251,35.872,1100.1,521.02,175.33,14.823,1.9354,58.808
-4.5333,1036.6,66.798,4.2332,35.473,1100,522.27,174.82,14.79,1.8807,58.676
-4.9758,1036.5,70.657,4.2498,35.593,1099.9,521.44,175.41,14.803,1.5928,57.449
-5.1355,1036.3,73.405,4.2088,35.153,1099.9,522.88,174.42,14.748,1.6498,58.026
-5.0905,1036.2,75.107,4.2942,36.067,1099.9,520,176.35,14.9,1.6027,55.634
-4.8432,1035.8,73.335,4.2099,35.408,1100,522.62,174.46,14.742,1.2684,56.305
-4.8908,1035.2,72.088,4.1929,35.186,1100.1,522.87,174.39,14.737,2.0439,58.512
-4.9279,1034.9,71.525,4.1793,35.044,1100,523.31,174.2,14.728,2.3491,60.118
-5.4839,1034.5,72.581,4.2569,35.86,1100,520.94,176.09,14.838,2.1367,58.693
-5.8956,1034.1,70.851,4.3541,36.533,1100,518.3,177.88,15.083,1.9988,56.206
-5.9031,1034,68.12,4.3749,36.844,1100,517.61,178.31,15.042,1.435,54.794
-5.8847,1033.6,66.92,4.2815,36.218,1100,520.24,176.55,14.891,1.2721,56.124
-6.0421,1033.3,68.008,4.4238,37.505,1099.9,516.04,179.5,15.159,1.5776,55.572
-5.6218,1033.2,66.772,4.3915,37.105,1099.9,517.72,177.91,15.029,1.6697,56.386
-4.5664,1032.8,69.383,4.185,35.072,1100.1,524.55,173.05,14.626,1.4528,59.496
-2.0146,1032.1,68.559,4.1822,35.012,1099.9,526.15,170.26,14.497,1.7187,50.349
1.0693,1031.1,63.791,4.1693,34.575,1100.1,529,167.5,14.33,2.3791,60.097
2.8271,1029.6,53.567,4.3085,35.693,1100,527.83,167.69,14.421,2.1031,59.758
3.7325,1028.6,50.971,4.2251,36.532,1099.9,529.49,166.54,14.282,2.1982,60.203
4.0266,1028.2,48.494,4.2348,37.063,1100,529.15,166.33,14.316,2.9551,60.615
4.2803,1027.6,53.882,4.2062,36.333,1100,530.01,166.05,14.292,2.3445,59.512
4.6765,1026.8,54.923,4.2029,36,1100,530.67,165.51,14.139,2.39,60.615
5.2881,1026.1,54.493,4.2264,36.752,1099.8,529.83,165.72,14.205,2.7047,61.063
5.4779,1025.5,60.777,4.1873,36.77,1100.1,531.57,164.35,14.129,2.4764,61.087
5.8393,1024.5,63.844,4.2338,36.052,1099.9,530.56,164.86,14.189,2.5136,59.902
6.257,1023.7,64.784,4.144,35.566,1100,532.78,163.45,14.069,2.5022,60.792
6.537,1022.8,63.733,4.1902,36.003,1099.9,531.87,163.87,14.099,2.448,60.209
6.9811,1021.8,68.687,4.1737,36.152,1100,533.69,162.52,13.981,2.4257,59.891
7.4258,1020.5,69.422,4.0499,34.88,1095,535.02,157.53,13.635,2.7196,63.038
13.669,1011,67.811,3.6958,30.535,1078.9,535.37,141.74,12.748,10.392,107.52
13.643,1010.4,67.515,4.1368,32.658,1100,536.64,157.91,13.72,2.8087,64.448
13.618,1009.9,64.808,4.1059,32.342,1100,538.21,156.79,13.715,2.9922,65.402
13.528,1009.6,63.893,4.0697,32.655,1099.8,537.56,157.16,13.705,3.079,64.745
13.488,1008.9,64.991,4.001,32.673,1100,539.37,155.94,13.643,3.1557,65.071
13.749,1008.4,64.892,4.0615,32.788,1100,538.88,156,13.626,3.1598,63.761
14.081,1008.2,62.75,3.9293,32.915,1100,541.28,154.08,13.481,2.4752,62.156
14.146,1008,64.817,3.704,32.393,1099.9,546.41,150.69,13.121,2.4229,63.643
14.216,1008.1,65.938,3.325,29.68,1086.5,550.01,138.8,12.27,2.9083,65.609
14.38,1008.2,63.991,3.2246,27.738,1080.4,549.83,134.05,11.883,3.5637,65.074
14.61,1008.2,62.448,3.289,27.655,1079,549.95,132.81,11.908,3.5939,65.259
15.011,1008.2,61.489,3.2334,27.99,1080.1,550.02,133.63,11.882,3.2819,64.079
14.64,1007.9,62.649,3.2322,27.131,1078.2,549.98,132.41,11.778,3.3437,65.043
14.512,1007.7,64.822,2.9854,25.468,1063.8,549.37,122.28,11.145,4.4783,68.596
13.599,1008.9,68.974,3.5532,29.798,1099.4,548.87,149.12,12.92,2.8175,65.709
8.2167,1010.8,74.124,3.6146,29.645,1098.7,544.02,154.29,13.185,3.5883,70.255
4.9518,1012.7,82.049,4.0049,33.078,1099.9,532.82,164.45,14.017,3.7464,62.831
3.9844,1014,84.932,4.0037,32.873,1100.1,533.35,164.25,14.046,3.1742,62.064
3.0685,1014.9,84.886,4.0566,32.779,1100,533.34,164.95,13.996,2.0356,62.21
2.0254,1015.6,87.684,4.0549,32.311,1100,534.58,164.44,13.904,2.2806,63.447
1.9239,1016.3,89.057,4.1119,31.925,1099.8,536.4,162.94,13.8,2.564,64.004
2.2551,1017.5,89.442,4.0573,32.463,1100.1,536.31,162.83,13.796,2.1694,61.234
2.6769,1018.9,88.698,3.9741,32.565,1099.9,535.38,163.17,13.853,2.1199,60.315
2.8829,1019.7,87.928,3.9885,32.756,1099.9,534.44,163.77,13.86,2.51,60.231
2.915,1020.7,87.456,3.9472,32.336,1099.9,535.93,162.7,13.799,2.9081,61.026
2.9781,1021.7,87.997,3.9485,31.954,1100,535.99,162.53,13.87,2.845,59.918
3.2098,1022,87.487,3.9239,31.747,1100.1,536.37,162.11,13.794,2.9358,60.623
3.1939,1022.5,86.816,3.9322,31.673,1100,536.23,162.14,13.863,2.6836,60.874
3.4713,1022.8,84.147,3.9282,31.848,1099.9,535.74,162.28,13.892,2.5009,60.568
3.5602,1023,81.503,3.8397,31.032,1100.2,538.37,160.24,13.657,2.6187,63.809
3.5854,1023.2,81.898,3.8373,30.994,1100,538.08,160.4,13.674,2.874,62.493
3.5704,1023.4,81.914,3.8801,31.463,1100,536.56,161.58,13.81,2.6981,60.565
3.3638,1023.9,83.167,3.922,31.641,1100,535.67,162.29,13.881,2.6151,60.753
3.1503,1023.9,83.529,4.1566,33.811,1100,528.88,167.17,14.289,2.4873,58.952
3.0234,1024,83.219,4.1332,33.606,1100.2,529.58,166.98,14.295,2.1952,58.955
2.7264,1024.3,84.159,4.1965,34.112,1099.9,527.64,168.28,14.35,2.8435,58.908
2.4541,1024.6,84.674,4.1653,33.875,1100.1,528.34,168.06,14.272,1.9167,56.128
2.3137,1025,85.055,4.1288,33.732,1099.9,529.11,167.3,14.251,2.1122,56.959
2.1869,1025.2,84.883,4.2213,34.383,1100.1,526.94,169.04,14.42,2.7245,57.578
2.4683,1025.4,86.343,4.2027,34.071,1099.9,527.76,168.18,14.391,2.4158,57.834
3.3565,1025.5,85.619,4.1227,33.437,1100,530.06,166.25,14.225,2.5885,58.49
4.9344,1025.6,81.903,4.1364,33.694,1099.9,530.76,164.64,14.195,2.6888,58.278
7.1859,1025.2,64.909,4.0637,34.609,1100,533.4,161.82,13.994,2.8965,59.584
6.8154,1024.5,74.291,4.0928,34.425,1099.9,530.91,164.04,14.176,2.8996,58.156
7.3466,1024,73.298,4.0431,34.589,1100,532.48,162.64,14.038,2.9109,58.04
7.8561,1023.6,68.285,4.1412,35.841,1100,531.39,162.95,14.11,2.0223,56.757
7.8034,1023.9,66.234,4.138,36.915,1100.1,531.67,162.84,14.111,1.8942,56.793
7.5176,1024.1,69.557,4.1281,36.417,1099.9,531.71,163.06,14.134,2.4525,57.799
6.9636,1024.5,73.215,4.1337,35.988,1099.9,531.12,163.99,14.164,2.9286,57.982
6.536,1024.7,76.167,4.1423,35.314,1100,530.36,164.53,14.19,2.8878,57.423
5.874,1024.5,76.926,4.1009,34.356,1100,530.95,165.05,14.165,2.8986,58.347
5.0083,1024.1,78.669,4.0794,33.88,1100,531.21,164.83,14.155,2.4608,58.366
4.7595,1023.8,75.057,4.087,33.783,1099.9,530.9,165.15,14.196,2.3463,58.494
3.8974,1023.4,77.365,4.1193,33.791,1100,529.95,166.36,14.276,2.3848,58.002
3.178,1022.9,80.053,4.1332,33.797,1099.9,529.26,167.06,14.302,2.7064,58.02
2.8912,1022.4,81.468,4.1212,33.504,1099.9,529.81,166.69,14.274,2.4947,57.89
2.7344,1022,82.568,4.1218,33.391,1099.9,530.3,166.42,14.184,2.743,59.235
2.8423,1021.9,83.002,4.0818,33.184,1099.9,531.18,165.82,14.193,2.6743,59.808
2.994,1021.5,82.6,4.1209,33.957,1099.9,529.53,166.85,14.27,2.7561,59.18
2.8463,1021.2,82.583,4.0796,33.569,1099.9,530.86,166.2,14.185,2.7072,60.385
2.4917,1020.9,83.486,4.1509,33.773,1099.9,529.49,167.29,14.246,2.5858,59.378
2.3804,1020.9,85.145,4.1256,33.439,1099.9,530.36,166.77,14.242,2.7423,59.793
2.6711,1020.9,85.376,4.1736,33.896,1100,529.4,166.98,14.196,2.7847,59.182
3.0559,1020.7,85.108,4.0921,33.515,1100,531.38,165.66,14.163,1.7481,58.296
4.256,1020.8,85.997,4.1233,33.761,1099.8,531.59,164.64,14.1,1.7864,57.829
5.9913,1020.8,85.746,4.0642,34.121,1100.1,533.87,162.26,13.987,2.1468,58.157
7.8231,1020.1,80.759,4.0743,35.382,1099.9,533.76,161.43,13.974,3.0747,58.298
9.1131,1019.3,73.991,4.0586,36.304,1100,534.16,161,13.977,3.296,58.906
9.9461,1018.5,69.71,3.9572,35.864,1100,537.01,158.75,13.764,3.0138,59.063
10.113,1017.9,69.945,3.9888,35.456,1099.8,535.92,159.71,13.829,2.6458,58.92
9.9493,1017.5,70.881,4.0479,36.318,1099.8,534.02,161.16,13.914,2.9665,58.7
9.6665,1017.3,73.279,4.0643,36.342,1100,532.4,162.89,14.091,2.6707,57.767
8.4827,1017.2,75.435,4.1083,35.659,1100,531.94,163.62,14.094,2.575,58.108
7.0983,1017,78.407,4.0758,34.619,1099.9,532.82,163.61,14.045,2.8073,59.391
6.5554,1016.7,80.61,4.0796,34.128,1100,533.28,163.38,13.962,2.6988,59.957
6.4633,1016.4,81.737,4.0495,33.832,1100,534.12,162.5,13.99,2.5244,59.663
6.6201,1016.3,82.176,3.988,33.558,1100.1,535.98,161.26,13.818,2.3604,59.313
6.5549,1016,82.708,4.0484,33.703,1100,534.95,161.88,13.927,2.4286,59.727
6.5421,1015.7,83.578,4.1048,34.268,1099.9,532.93,163.38,14.011,2.3644,59.227
6.6795,1015.2,83.526,4.0072,33.753,1099.9,535.97,161.01,13.881,2.4544,60.178
6.9969,1015,83.275,4.0668,34.355,1100,534.21,162.2,14,2.4747,59.827
7.455,1014.8,83.441,4.1019,34.662,1100.1,533.04,163.09,14.062,2.7479,59.767
7.9138,1014.7,80.963,4.0667,34.805,1099.9,533.86,162.21,13.938,2.7742,60.564
8.1209,1014.5,79.748,4.0648,34.799,1099.9,534.48,161.98,13.888,2.787,60.454
7.9441,1014.7,77.958,4.0382,33.869,1099.9,534.1,162.49,13.909,2.7458,60.676
6.654,1014.9,79.625,3.9934,33.376,1099.8,535.73,161.83,13.847,2.8652,61.552
5.8135,1015.3,79.888,4.1294,33.807,1099.8,530.92,165.26,14.151,2.6981,60.309
5.188,1015.8,82.386,4.0729,33.046,1100,532.66,164.27,14.02,2.8059,60.262
5.9283,1016.2,83.101,4.1096,33.253,1100,532.15,164.39,14.108,2.5981,59.558
6.5152,1016.3,81.403,4.0043,32.348,1099.9,535.44,161.96,13.898,2.6662,60.229
7.1178,1016.2,79.821,4.0903,33.43,1100,532.81,163.38,14.06,2.5322,59.166
8.0863,1016,77.06,4.0832,33.281,1100,533.26,163.07,14.038,2.3235,59.981
8.3955,1015.8,74.358,4.0375,33.069,1099.9,534.23,162.04,13.903,2.5699,61.434
8.5164,1015.5,71.882,4.0101,33.643,1100,535.44,160.9,13.912,2.5137,61.749
8.3828,1015.8,72.891,4.0732,33.615,1100,533.42,162.2,13.986,2.6809,61.496
8.4429,1015.8,74.764,4.0162,32.49,1099.9,535.1,161.31,13.893,2.7633,61.457
8.3891,1016.3,75.936,4.0948,33.02,1099.9,532.99,162.78,14.022,2.8722,60.582
7.8668,1016.8,77.345,4.083,32.716,1100,533.8,162.68,14.037,3.0011,60.746
6.2145,1017.5,79.059,4.0837,32.959,1099.9,533.18,163.67,14.06,3.0204,60.897
4.9337,1018,81.587,4.0961,32.842,1099.9,532.95,164.37,14.099,3.0379,60.714
4.5777,1018.2,82.792,4.1251,33.319,1100,531.46,165.22,14.134,2.9104,59.596
4.9182,1018.5,83.704,4.0221,33.269,1099.7,534.43,162.54,13.95,2.7887,59.724
5.471,1018.8,81.654,4.1342,36.375,1099.9,531.1,164.7,14.157,2.7646,58.295
