Order,lot_area,neighborhood,overall_quality,overall_condition,year_built,year_sold,sale_price
138,16492,NAmes,6,6,1966,2010,190000
139,8267,NAmes,5,5,1958,2010,135000
140,8197,NAmes,7,5,2003,2010,214000
141,8050,NAmes,5,5,1959,2010,136000
142,10552,NAmes,5,5,1959,2010,165500
143,8400,NAmes,5,6,1957,2010,145000
144,8760,NAmes,6,6,1959,2010,148000
145,12160,NAmes,5,5,1959,2010,142000
146,9300,NAmes,5,5,1960,2010,167500
147,10725,NAmes,5,5,1959,2010,108538
148,10032,NAmes,6,5,1959,2010,159500
149,8382,NAmes,4,5,1956,2010,108000
150,10950,NAmes,5,7,1952,2010,135000
151,10895,NAmes,5,6,1955,2010,122500
152,13587,NAmes,5,5,1958,2010,119000
153,7922,NAmes,5,7,1953,2010,109000
154,7898,NAmes,4,7,1920,2010,105000
155,7200,NAmes,5,7,1955,2010,107500
156,10200,NAmes,5,7,1954,2010,144900
157,5868,NAmes,5,7,1956,2010,129000
158,17503,NAmes,6,5,1948,2010,97500
159,6979,OldTown,6,5,1980,2010,144000
160,9830,NAmes,5,7,1959,2010,162000
161,11275,NAmes,7,7,1967,2010,242000
162,8064,NAmes,6,8,1948,2010,132000
163,7500,NAmes,5,7,1959,2010,154000
164,8520,NAmes,5,4,1952,2010,166000
165,7200,NAmes,5,7,1951,2010,134800
166,10000,NAmes,6,6,1962,2010,160000
167,7635,NAmes,5,6,1960,2010,148000
168,9760,NAmes,6,7,1963,2010,192000
169,7700,NAmes,6,5,1966,2010,155000
170,4800,OldTown,4,5,1900,2010,80400
171,8800,OldTown,4,7,1910,2010,96500
172,4485,OldTown,5,7,1920,2010,109500
173,8960,OldTown,5,6,1927,2010,115000
174,5805,OldTown,5,7,1957,2010,143000
175,5790,OldTown,3,6,1915,2010,107400
176,4608,OldTown,4,6,1945,2010,80000
177,7200,OldTown,5,7,1940,2010,119000
178,5500,OldTown,5,7,1929,2010,130000
179,6900,OldTown,6,7,1938,2010,119000
180,11851,OldTown,5,7,1948,2010,129000
181,8239,OldTown,5,6,1920,2010,100000
182,9656,OldTown,2,2,1923,2010,12789
183,8520,OldTown,6,8,1928,2010,105900
184,9600,OldTown,8,9,1900,2010,150000
185,10800,OldTown,5,6,1915,2010,139000
186,9000,OldTown,8,9,1890,2010,240000
187,9045,OldTown,5,3,1910,2010,76500
188,7407,OldTown,6,7,1957,2010,149700
189,7740,OldTown,4,7,1910,2010,125500
190,11340,OldTown,4,6,1885,2010,122500
191,10560,OldTown,6,7,1922,2010,140750
192,5830,BrkSide,5,6,1950,2010,128500
193,7793,BrkSide,7,7,1922,2010,209500
194,5000,BrkSide,4,7,1925,2010,87000
195,6000,BrkSide,6,7,1939,2010,134000
196,6000,BrkSide,6,6,1940,2010,128000
197,6360,BrkSide,5,6,1942,2010,132000
198,6000,BrkSide,6,7,1948,2010,139900
199,6240,BrkSide,5,7,1936,2010,123900
200,6240,BrkSide,5,5,1930,2010,138400
201,6120,OldTown,6,5,1923,2010,109500
202,10300,OldTown,7,6,1921,2010,140000
203,8094,OldTown,4,5,1915,2010,149500
204,12900,OldTown,6,8,1912,2010,159900
205,3068,OldTown,6,8,1920,2010,122000
206,8472,IDOTRR,5,5,1963,2010,110000
207,5600,IDOTRR,4,5,1930,2010,55000
208,7630,OldTown,5,9,1900,2010,140000
209,24090,ClearCr,7,7,1940,2010,244400
210,15263,ClearCr,5,5,1959,2010,173000
211,10632,ClearCr,5,3,1917,2010,107500
212,9900,SWISU,5,4,1915,2010,100000
213,6001,SWISU,6,5,1940,2010,95000
214,6449,SWISU,4,1,1907,2010,93369
215,6048,SWISU,5,7,1910,2010,114900
216,6342,Sawyer,5,8,1875,2010,94000
217,10773,Sawyer,4,3,1967,2010,136000
218,10778,Sawyer,4,5,1968,2010,136500
219,11625,Sawyer,5,4,1965,2010,131500
220,11341,Sawyer,5,6,1957,2010,121500
221,8521,Sawyer,5,5,1967,2010,125000
222,8246,Sawyer,5,8,1968,2010,154000
223,7800,Sawyer,5,7,1966,2010,137900
224,9364,Sawyer,6,7,1969,2010,158000
225,7832,Sawyer,5,5,1968,2010,137250
226,7424,Sawyer,5,5,1978,2010,160250
227,11227,Sawyer,5,5,1968,2010,163000
228,11616,Sawyer,6,5,1978,2010,158900
229,14000,ClearCr,7,5,1996,2010,328000
230,20062,ClearCr,7,7,1977,2010,270000
231,9259,Sawyer,4,4,1927,2010,85000
232,9600,Sawyer,4,7,1950,2010,128000
233,23595,ClearCr,7,6,1979,2010,260000
234,17082,ClearCr,6,5,1978,2010,230000
235,18600,Edwards,3,4,1938,2010,124000
236,10625,Edwards,5,5,1920,2010,83000
237,11479,Edwards,6,7,1950,2010,144500
238,9571,Edwards,5,6,1956,2010,129000
239,9350,Edwards,4,6,1947,2010,127000
240,9525,Edwards,5,7,1954,2010,128000
241,10420,Edwards,6,5,2009,2010,186000
242,17485,Edwards,7,5,2009,2010,308030
243,11200,Edwards,5,3,1964,2010,114000
244,11100,Edwards,4,7,1946,2010,84900
245,9206,SawyerW,6,5,1985,2010,178000
246,11980,SawyerW,7,5,1987,2010,270000
247,12361,SawyerW,6,7,1993,2010,218000
248,9938,SawyerW,7,5,1993,2010,236000
249,9069,SawyerW,6,6,1992,2010,147000
250,10475,CollgCr,8,5,2008,2010,245350
251,6762,CollgCr,7,5,2006,2010,206000
252,10402,CollgCr,7,5,2009,2010,198900
253,7360,CollgCr,7,5,2010,2010,187000
254,12376,SawyerW,7,5,1990,2010,320000
255,14235,SawyerW,6,8,1900,2010,138500
256,8816,ClearCr,6,7,1971,2010,155000
257,11105,CollgCr,5,5,1996,2010,159000
258,9337,CollgCr,7,5,1997,2010,191000
259,8750,CollgCr,6,5,1998,2010,200500
260,15240,CollgCr,5,8,1977,2010,150000
261,10900,CollgCr,6,7,1977,2010,161750
262,10650,CollgCr,5,6,1976,2010,128200
263,7480,CollgCr,5,6,1972,2010,127000
264,10389,CollgCr,8,5,2003,2010,318000
265,11423,CollgCr,8,5,2001,2010,272000
266,9548,CollgCr,7,6,2003,2010,237000
267,9375,CollgCr,7,5,1997,2010,240000
268,12137,CollgCr,7,5,1998,2010,224900
269,4435,CollgCr,6,5,2003,2010,143750
270,4426,CollgCr,6,5,2004,2010,143000
271,10635,CollgCr,8,5,2003,2010,232000
272,8400,CollgCr,7,5,2004,2010,213000
273,8773,CollgCr,7,5,2004,2010,185500
274,8777,Edwards,3,6,1945,2010,84900
275,8842,Edwards,5,6,1954,2010,155891
276,9825,Edwards,5,5,1965,2010,100000
277,10044,Edwards,5,6,1968,2010,144000
278,11792,Edwards,4,5,1948,2010,64000
279,6305,Edwards,6,6,1975,2010,125200
280,7819,Edwards,6,5,1976,2010,107000
281,6410,Edwards,4,5,1958,2010,90000
282,8546,Edwards,4,5,2003,2010,140000
283,8741,Edwards,6,4,1945,2010,113000
284,12180,Edwards,4,4,1941,2010,80000
285,8562,Edwards,5,6,1957,2010,144500
286,4853,SWISU,5,6,1924,2010,104000
287,6858,SWISU,6,4,1915,2010,128000
288,8212,Edwards,3,3,1914,2010,58500
289,5000,SWISU,5,6,1924,2010,127000
290,7890,SWISU,6,6,1939,2010,126000
291,7200,SWISU,4,6,1967,2010,160000
292,9839,SWISU,5,2,1931,2010,100000
293,9638,SWISU,6,7,1919,2010,169000
294,10452,Crawfor,7,6,1941,2010,257500
295,15600,Crawfor,5,6,1950,2010,215000
296,9042,Crawfor,7,9,1941,2010,266500
297,17500,Crawfor,7,8,1959,2010,335000
298,19645,Crawfor,7,6,1994,2010,203135
299,3907,Blueste,8,6,1989,2010,185000
300,3907,Blueste,8,5,1989,2010,162500
301,15602,Crawfor,7,8,1959,2010,289000
302,5436,IDOTRR,4,8,1922,2010,125500
303,8154,IDOTRR,2,5,1941,2010,82000
304,9140,IDOTRR,6,5,1921,2010,110000
305,7500,IDOTRR,4,4,1920,2010,68400
306,8712,IDOTRR,4,7,1900,2010,102776
307,8712,IDOTRR,5,5,1952,2010,55993
308,8712,IDOTRR,4,7,1896,2010,50138
309,3811,Crawfor,8,5,2004,2010,246000
310,11050,Mitchel,8,5,1998,2010,254900
311,9620,Mitchel,6,7,1977,2010,190000
312,9196,Mitchel,7,5,2003,2010,201000
313,12328,Mitchel,6,5,1976,2010,169900
314,12760,Mitchel,6,5,1976,2010,170000
315,57200,Timber,5,5,1948,2010,160000
316,11896,Timber,7,5,2008,2010,220000
317,9803,Timber,7,5,2009,2010,179781
318,9802,Timber,5,5,2006,2010,174000
319,12003,Timber,8,5,2009,2010,269500
320,11316,Timber,7,5,2002,2010,214900
321,14191,Timber,8,5,2002,2010,202900
322,13214,Timber,9,5,2008,2010,378500
323,15300,Mitchel,5,5,1965,2010,169000
324,10114,Mitchel,5,5,2004,2010,173500
325,9400,Mitchel,6,5,1971,2010,139000
326,11875,Mitchel,5,5,1999,2010,166500
327,1974,MeadowV,4,5,1973,2010,83500
328,2394,MeadowV,5,6,1973,2010,119500
329,2592,MeadowV,5,3,1976,2010,85000
330,1476,MeadowV,4,7,1970,2010,76000
331,1491,MeadowV,4,6,1972,2010,75500
332,1900,MeadowV,4,4,1970,2010,88250
333,1890,MeadowV,4,6,1972,2010,85500
334,6953,Mitchel,5,7,1971,2010,130000
335,26142,Mitchel,5,7,1962,2010,157900
336,12887,Mitchel,5,7,1984,2010,149900
337,7700,Mitchel,5,2,1985,2010,159000
338,10475,Mitchel,5,5,1991,2010,136000
339,10544,Mitchel,5,5,1969,2010,161000
340,9892,Mitchel,8,5,1994,2010,285000
341,12961,Mitchel,6,5,1993,2010,231000
342,13008,NAmes,6,5,1956,2009,124500
343,10200,NAmes,6,5,1974,2009,157000
344,13860,NAmes,8,7,1972,2009,345000
345,10179,Gilbert,6,5,1997,2009,189500
346,11792,Gilbert,8,5,2003,2009,270000
347,8400,Gilbert,7,5,1996,2009,189000
348,14892,Gilbert,9,5,2006,2009,377500
349,8530,Gilbert,7,5,1995,2009,168500
350,7296,StoneBr,8,5,2004,2009,375000
351,5664,StoneBr,8,5,2000,2009,278000
352,7380,StoneBr,8,5,1998,2009,240000
353,8013,StoneBr,8,5,1995,2009,239500
354,8923,Gilbert,7,5,1998,2009,177500
355,10141,Gilbert,7,5,1998,2009,185000
356,7500,Gilbert,6,5,1998,2009,191000
357,7837,Gilbert,6,7,1993,2009,178000
358,9765,Gilbert,6,8,1993,2009,185000
359,8803,Gilbert,6,5,1994,2009,181316
360,7250,Gilbert,6,5,1993,2009,166000
361,9636,Gilbert,6,5,1992,2009,178000
362,8125,Gilbert,6,5,1994,2009,174000
363,9248,Gilbert,6,6,1992,2009,173000
364,10762,Gilbert,7,5,1999,2009,225000
365,11851,Gilbert,7,5,1990,2009,180500
366,5814,StoneBr,8,5,1984,2009,187500
367,17423,StoneBr,9,5,2008,2009,501837
368,11844,StoneBr,8,5,2008,2009,372500
369,16158,StoneBr,7,5,2005,2009,260000
370,11900,Gilbert,5,6,1977,2009,185000
371,13005,NWAmes,7,7,1980,2009,260000
372,17043,NWAmes,6,5,1979,2009,181000
373,11900,NWAmes,7,5,1977,2009,82500
374,16635,NWAmes,6,7,1977,2009,215000
375,13250,NWAmes,7,6,1978,2009,154000
376,10928,NWAmes,6,6,1978,2009,200000
377,12388,NWAmes,7,7,1980,2009,249000
378,14115,NWAmes,7,5,1980,2009,187500
379,11088,NWAmes,6,5,1978,2009,184000
380,9600,NWAmes,8,5,1981,2009,278000
381,11880,NWAmes,7,5,1978,2009,157000
382,10400,NWAmes,7,5,1976,2009,152000
383,10304,NWAmes,5,7,1976,2009,197500
384,7000,Somerst,7,5,2003,2009,240900
385,8004,Somerst,8,5,2009,2009,263435
386,7500,Somerst,8,5,2000,2009,220000
387,8470,Somerst,8,5,2002,2009,235000
388,9373,NWAmes,5,7,1975,2009,213000
389,10140,NWAmes,6,6,1974,2009,167900
390,11050,NWAmes,7,5,1975,2009,158000
391,10140,NWAmes,6,5,1974,2009,165000
392,10448,NWAmes,6,6,1972,2009,158000
393,9000,NAmes,5,5,1974,2009,136000
394,8750,NAmes,5,6,1970,2009,148500
395,7930,NAmes,6,8,1969,2009,156000
396,7830,NAmes,5,5,1970,2009,128000
397,8510,NAmes,5,7,1971,2009,143000
398,7038,NAmes,4,6,1970,2009,76500
399,6960,NAmes,4,6,1970,2009,120500
400,8120,NAmes,4,7,1970,2009,124500
401,10500,NAmes,4,6,1971,2009,97000
402,9000,NAmes,4,7,1971,2009,130000
403,1680,BrDale,6,5,1973,2009,111000
404,2368,BrDale,5,6,1970,2009,125000
405,1680,BrDale,5,5,1971,2009,112000
406,1680,BrDale,6,6,1972,2009,97000
407,1680,BrDale,6,8,1972,2009,118000
408,1680,BrDale,5,7,1972,2009,119500
409,4928,NPkVill,6,6,1976,2009,143750
410,2308,NPkVill,6,5,1976,2009,146000
411,2280,NPkVill,6,6,1976,2009,148500
412,2280,NPkVill,7,5,1975,2009,123000
413,2308,NPkVill,6,5,1974,2009,147000
414,2349,NPkVill,6,5,1977,2009,137900
415,2364,NPkVill,6,5,1978,2009,147000
416,2289,NPkVill,6,6,1978,2009,148500
417,2364,NPkVill,6,5,1978,2009,138000
418,2104,NPkVill,7,6,1976,2009,128500
419,7150,NAmes,5,5,1967,2009,100000
420,10710,NAmes,5,7,1966,2009,148800
421,12456,NridgHt,10,5,2006,2009,337500
422,14257,NridgHt,9,5,2007,2009,462000
423,13518,NridgHt,9,5,2008,2009,485000
424,15431,NridgHt,10,5,2008,2009,555000
425,13173,NridgHt,9,5,2006,2009,325000
426,14230,NridgHt,8,5,2007,2009,256300
427,12704,NridgHt,8,5,2008,2009,253293
428,12350,NridgHt,9,5,2009,2009,398800
429,11308,NridgHt,9,5,2008,2009,335000
430,12350,NridgHt,9,5,2008,2009,404000
431,12220,NridgHt,10,5,2009,2009,402861
432,13478,NridgHt,10,5,2008,2009,451950
433,13693,NridgHt,10,5,2007,2009,610000
434,13891,NridgHt,9,5,2008,2009,582933
435,11578,NridgHt,9,5,2008,2009,360000
436,16870,NridgHt,8,5,2004,2009,296000
437,23303,NridgHt,8,5,2007,2009,409900
438,11146,NridgHt,8,5,2006,2009,255500
439,10367,NridgHt,9,5,2008,2009,335000
440,9591,NridgHt,8,5,2004,2009,274900
441,10872,NridgHt,9,5,2006,2009,300000
442,13514,NridgHt,9,5,2008,2009,324000
443,8834,NridgHt,9,5,2004,2009,350000
444,11362,NridgHt,8,5,2004,2009,280000
445,10655,NridgHt,8,5,2003,2009,284000
446,12878,NridgHt,7,5,2003,2009,269500
447,9541,NridgHt,7,5,2009,2009,233170
448,13472,NridgHt,10,5,2003,2009,386250
449,15274,NridgHt,9,5,2003,2009,445000
450,13262,NridgHt,8,5,2003,2009,290000
451,9658,NridgHt,8,5,2006,2009,255900
452,6904,NridgHt,6,5,2005,2009,213000
453,5381,NridgHt,6,5,2005,2009,196000
454,5122,NridgHt,6,5,2005,2009,184500
455,10307,NridgHt,7,5,2007,2009,212500
456,5001,NridgHt,7,5,2007,2009,230000
457,14836,NridgHt,10,5,2004,2009,552000
458,15262,NridgHt,8,5,2003,2009,382500
459,7390,NridgHt,9,5,2008,2009,320000
460,6472,NridgHt,9,5,2008,2009,248500
461,16770,NridgHt,8,5,2002,2009,286500
462,6240,NridgHt,8,5,2006,2009,254000
463,3480,NridgHt,7,5,2003,2009,173000
464,2268,NridgHt,7,5,2003,2009,173000
465,10928,Gilbert,7,5,2005,2009,184000
466,8918,Gilbert,6,5,2005,2009,167800
467,12589,Gilbert,6,5,2005,2009,174000
468,11911,Gilbert,6,5,2005,2009,174000
469,3684,Blmngtn,7,5,2007,2009,174000
470,3635,Blmngtn,7,5,2007,2009,175900
471,3182,Blmngtn,7,5,2005,2009,192500
472,3182,Blmngtn,7,5,2005,2009,181000
473,3182,Blmngtn,7,5,2005,2009,180000
474,3182,Blmngtn,7,5,2005,2009,160200
475,7795,Gilbert,7,5,2004,2009,188500
476,8068,Gilbert,6,5,2002,2009,200000
477,9434,Gilbert,7,5,2004,2009,170000
478,7984,Gilbert,7,5,2004,2009,189500
479,7750,Gilbert,8,5,2002,2009,184100
480,10125,Gilbert,7,5,2004,2009,195500
481,8965,Gilbert,7,5,2003,2009,192000
482,8174,Gilbert,7,5,2003,2009,178000
483,5063,NridgHt,7,5,2007,2009,207500
484,8795,Gilbert,7,5,2000,2009,236000
485,12891,Gilbert,8,5,2002,2009,257500
486,12224,Gilbert,6,5,2000,2009,244000
487,9734,Gilbert,7,5,2004,2009,167000
488,8123,Gilbert,6,5,2000,2009,179000
489,8433,Gilbert,6,5,2000,2009,190000
490,7750,Gilbert,7,5,1999,2009,156000
491,15896,Gilbert,7,5,1999,2009,245000
492,24682,Gilbert,6,5,1999,2009,181000
493,8755,Gilbert,7,5,1999,2009,214000
494,7848,Gilbert,7,6,1999,2009,168000
495,9430,NoRidge,8,5,1999,2009,337000
496,15138,NoRidge,8,5,1995,2009,403000
497,12720,NoRidge,8,5,2000,2009,327000
498,16545,NoRidge,8,5,1998,2009,340000
499,12203,NoRidge,8,5,1998,2009,336000
500,10208,NoRidge,7,5,1996,2009,265000
501,10750,NoRidge,8,5,1994,2009,315000
502,9900,NoRidge,7,5,1993,2009,260000
503,9085,NoRidge,7,5,1995,2009,260000
504,11692,NoRidge,8,5,1993,2009,263550
505,46589,NoRidge,8,7,1994,2009,402000
506,29959,NoRidge,7,6,1994,2009,248000
507,9612,Somerst,8,5,2008,2009,244600
508,11194,Somerst,8,5,2008,2009,275000
509,10206,Somerst,8,5,2008,2009,257500
510,9262,Somerst,8,5,2008,2009,287090
511,10130,Somerst,8,5,2007,2009,275500
512,9139,Somerst,8,5,2006,2009,245000
513,9675,Somerst,7,5,2005,2009,253000
514,11128,Somerst,9,5,2005,2009,468000
515,8640,Somerst,7,5,2009,2009,252678
516,9000,Somerst,8,5,2008,2009,210000
517,7862,Somerst,6,5,2009,2009,208300
518,7993,Somerst,7,5,2008,2009,225000
519,8640,Somerst,8,5,2009,2009,229456
520,8640,Somerst,7,5,2008,2009,229800
521,12606,Somerst,9,5,2007,2009,250000
522,9187,Somerst,9,5,2009,2009,370878
523,7500,Somerst,8,5,2006,2009,238500
524,11003,Somerst,10,5,2008,2009,310000
525,10603,Somerst,8,5,2006,2009,270000
526,10574,Somerst,8,5,2005,2009,252000
527,8125,Somerst,7,5,2006,2009,241000
528,8125,Somerst,8,5,2008,2009,264500
529,10625,Somerst,7,5,2006,2009,291000
530,9375,Somerst,7,5,2003,2009,263000
531,7500,Somerst,7,5,2004,2009,185000
532,8736,Somerst,7,5,2003,2009,234500
533,8127,Somerst,7,5,2003,2009,209000
534,9605,SawyerW,7,6,2007,2009,159000
535,7500,SawyerW,7,5,2006,2009,152000
536,7500,SawyerW,6,5,2004,2009,143500
537,10628,SawyerW,7,5,2004,2009,193000
538,10141,SawyerW,8,5,2004,2009,203000
539,10083,SawyerW,7,5,2003,2009,184900
540,13072,SawyerW,7,5,2004,2009,159000
541,13072,SawyerW,5,5,2004,2009,142000
542,12450,SawyerW,5,5,2003,2009,153000
543,7328,SawyerW,7,5,2008,2009,224243
544,11492,SawyerW,7,5,1996,2009,220000
545,10994,SawyerW,8,5,2005,2009,257000
546,8529,SawyerW,7,5,2001,2009,189000
547,7703,SawyerW,6,6,1992,2009,171500
548,10762,SawyerW,6,6,1980,2009,120000
549,7175,SawyerW,6,5,1990,2009,145000
550,9109,SawyerW,7,5,1994,2009,184000
551,10274,SawyerW,6,7,1986,2009,162000
552,8250,SawyerW,6,7,1981,2009,160000
553,8400,SawyerW,4,4,1950,2009,82000
554,9000,SawyerW,6,3,1928,2009,76000
555,9750,Sawyer,5,5,1962,2009,110000
556,7064,Sawyer,5,6,1977,2009,135000
557,8499,Sawyer,5,6,1961,2009,141000
558,9079,Sawyer,5,5,1961,2009,122000
559,9316,Sawyer,5,5,1965,2009,124100
560,7791,Sawyer,5,8,1963,2009,129000
561,10000,Sawyer,5,6,1961,2009,131400
562,8281,Sawyer,5,5,1965,2009,62383
563,7150,Sawyer,5,6,1962,2009,123000
564,15676,Veenker,8,8,1980,2009,275000
565,11949,NoRidge,7,8,1991,2009,235000
566,2880,Somerst,7,5,2004,2009,280750
567,3951,Somerst,6,5,2009,2009,164500
568,3000,Somerst,6,5,2009,2009,173733
569,3830,Somerst,6,5,2008,2009,222000
570,4217,Somerst,6,5,2008,2009,195000
571,3230,Somerst,6,5,1999,2009,172500
572,2998,Somerst,6,5,2000,2009,180000
573,3768,Somerst,7,5,1999,2009,156000
574,2645,Somerst,8,5,1999,2009,172500
575,14694,Veenker,8,9,1977,2009,318750
576,3782,Greens,8,5,1981,2009,211500
577,15417,Veenker,7,5,1981,2009,241600
578,9600,Veenker,8,5,1976,2009,180500
579,9991,Sawyer,4,4,1976,2009,150000
580,11700,NWAmes,6,6,1968,2009,154000
581,11717,NWAmes,6,6,1970,2009,185000
582,9156,NWAmes,6,7,1968,2009,185750
583,10382,NWAmes,7,6,1973,2009,200000
584,12732,NWAmes,7,6,1974,2009,206000
585,12936,NWAmes,6,6,1972,2009,162000
586,10400,NWAmes,6,7,1967,2009,256900
587,17871,NWAmes,6,5,1967,2009,197900
588,9600,NWAmes,5,5,1969,2009,163000
589,9000,NWAmes,6,5,1969,2009,113000
