Publisher,Journal title,Article title,Cost
Dartmouth Journal Services,American Journal for Clinical Nutrition,Obesity is positively associated with dehydroepiandrosterone sulfate concentrations at 7 y in Chilean children of normal birth weight.,"£1 891,19"
Taylor and Francis,American Journal of Bioethics--Neuroscience,Just How Cognitive is 'Cognitive Enhancement'? On the Significance of Emotions in University Students' Experiences with Study Drugs,"£2 465,77"
Dartmouth Journal Services,American Journal of Clinical Nutrition,DNA methylation potential: dietary intake and blood concentrations of one-carbon metabolites and cofactors in rural African women,"£1 953,76"
OUP,American Journal of Epidemiology,Prenatal exposures and anti-Müllerian hormone in female adolescents: the Avon Longitudinal Study of Parents and Children,"£2 040,00"
OUP,American Journal of Epidemiology,Association between urban life-years and cardiometabolic risk: the Indian migration study,"£2 040,00"
Oxford University Press,American Journal of Epidemiology,Efficient design for Mendelian randomization studies: subsample and two-sample instrumental variable estimators,"£1 700,00"
Elsevier,American Journal of Geriatric Psychiatry,The epidemiology of delirium: challenges and opportunities for population studies,"£2 404,53"
Cell Press,American Journal of Human Genetics,ELAC2 mutations cause a mitochondrial RNA processing defect associated with hypertrophic cardiomyopathy,"£2 418,34"
Elsevier,American Journal of Human Genetics,Mutations in ANO3 cause dominant cranio-cervical dystonia: ion channel implicated in pathogenesis,"£2 296,94"
Elsevier,American Journal of Human Genetics,Mutations in FBXL4 cause mitochondrial encephalopathy and a disorder of mitochondrial DNA maintenance,"£2 334,41"
Elsevier,American Journal of Human Genetics,Constitutional mutations in RTEL1 cause severe dyskeratosis congenita,"£2 434,04"
Elsevier,American Journal of Human Genetics,LRIG2 Mutations Cause Urofacial Syndrome,"£3 938,82"
John Wiley,American Journal of Medical Genetics,A Novel Nonsense CDK5RAP2 Mutation in a Somali Child with Primary Microcephaly,"£2 307,01"
Wiley,American Journal of Medical Genetics Part A,"A Distinct Mitochondrial Myopathy, Lactic Acidosis and Sideroblastic Anaemia (MLASA) Phenotype Associates with YARS2 Mutations","£1 500,00"
American Society for Investigative Pathology,American Journal of Pathology,Trophoblast- and Vascular Smooth Muscle Cell-Derived MMP-12 Mediates Elastolysis during Uterine Spiral Artery Remodeling,"£995,31"
Elsevier,American Journal of Preventive Medicine,Physical activity and transitioning to retirement: a systematic review,"£2 377,65"
Elsevier,American Journal of Preventive Medicine,Financial incentives to promote active travel: an evidence review and economic framework,"£2 377,65"
Elsevier ,American Journal of Preventive Medicine ,Sickle Cell Disease in Africa; a neglected cause of early childhood mortality ,"£1 834,77"
American Psychiatric Association,American Journal of Psychiatry,Methamphetamine-induced disruption of frontostriatal reward learning signals: relation to psychotic symptoms,"£2 351,73"
American Public Health Association,American Journal of Public Health,Health co-benefits and transportation-related reductions in greenhouse gas emissions in the San Francisco bay area,"£1 422,25"
Wiley-Blackwell,American Journal of Transplantation,TNFa from classically activated macrophages accentuates epithelial to mesenchymal transitions in obliterative bronchiolitis,"£1 884,30"
Wiley-Blackwell,American Journal of Transplantation,Biliary epithelial senescence and plasticity in acute cellular rejection,"£2 373,84"
"Wiley-Blackwell, John Wiley & Sons",American Journal of Transplantation,Low dose rapamycin treatment increases the ability of human regulatory T cells to inhibit transplant arteriosclerosis in vivo,"£1 900,70"
Sheridan Press,American Journal of Tropical Medicine & Hygiene,Selection of antimalarial drug resistance after intermittent preventive treatment of infants and children (IPTi/c) in Senegal,"£1 646,36"
Sheridan Press,American Journal of Tropical Medicine & Hygiene,Asymptomatic Plasmodium infection and cognition among primary schoolchildren in a high malaria transmission setting in Uganda,"£1 646,36"
Sheridan Press,American Journal of Tropical Medicine & Hygiene,Assessment of the Molecular Marker of Plasmodium falciparum Chloroquine Resistance in Senegal after several years of chloroquine withdrawal.,"£1 651,30"
American Society for Nutrition,American Society for Nutrition,The association between breastfeeding and HIV on postpartum maternal weight changes over 24 months in rural South Africa,"£45,94"
Springer,Anal Bioanal Chem.,Fragment screening of cyclin G-associated kinase by weak affinity chromatography.,"£1 902,97"
Elsevier,Analytical Biochemistry,An expression system for screening of proteins for glycan and protein interactions.,"£2 381,62"
American Chemical Society,Analytical Chemistry,Variable-Pitch Rectangular Cross-section Radiofrequency Coils for the Nitrogen-14 Nuclear Quadrupole Resonance Investigation of Sealed Medicines Packets,"£759,67"
American Chemical Society,Analytical Chemistry,Amphipathic polymers facilitate the study of functional membrane in the gas phase,"£2 082,74"
American Chemical Society,Analytical Chemistry,Quantitative dynamics of phosphorproteome: the devil is in the details,"£2 314,10"
Wiley-VCH,Angew chems Int Ed,"Design and synthesis of cyclic ADP-4-thioribose as a stable equivalent of cyclic ADP-ribose, a calcium ion-mobilizing second messenger.","£3 026,17"
Wiley,Angewande Chemie,Site-Specific Identification of the Abeta Fibril-Glycosaminoglycan Interaction Site using Solid State NMR Spectroscopy,"£2 979,91"
Wiley,Angewandte Chemie,Cysteine Promoted C-terminal Hydrazinolysis of Native Peptides and Proteins,"£2 250,00"
Wiley-Blackwell,Angewandte Chemie International Edition,Using ligand-mapping simulations to design a ligand selectively targeting a cryptic surface pocket of Polo-like kinase 1,"£2 437,19"
Wiley-Blackwell,Angewandte Chemie International Edition,High-throughput interrogation of ligand binding mode using a fluorescence-based assay,"£2 437,19"
Wiley-Blackwell,Angewandte Chemie International Edition,From crystal-packing to molecular recognition: prediction and discovery of a binding site on the surface of Polo-like Kinase 1,"£2 437,19"
Elsevier,Animal Behaviour,Metabolic rate and body size are linked with perception of temporal information,"£1 806,38"
Elsevier,Animal Behaviour,Faecal avoidance and selective foraging: Do wild mice have the luxury to avoid faeces?,"£1 816,38"
Wiley,Annals of Human Genetics,Association of FTO gene variants with body composition in UK twins,"£2 234,61"
Wiley,Annals of Neurology,Optic radiation tractography and vision in anterior temporal lobe resection,"£1 500,00"
Wiley,Annals of Neurology,Mitochondrial DNA deletions and neurodegeneration in multiple sclerosis,"£2 184,22"
Wiley-Blackwell,Annals of Neurology,Ischaemic stroke is associated with the ABO locus: the Euroclot study,"£2 276,48"
Wiley,Annals of Neurology ,Glucocerebrosidase deficiency in substantia nigra of Parkinson's disease brains,"£2 010,24"
Wiley,Annals of Neurology ,Mutations in the autoregulatory domain of ?-tubulin 4a cause hereditary dystonia,"£2 010,24"
Taylor & Francis,Annals of Science,"Systems, and How Linnaeus Looked At Them in Retrospect","£2 337,60"
Wiley,Annals of the New York Academy of Sciences,How serotonin shapes moral judgment and behavior,"£1 500,00"
Wiley,Annals of the New York Academy of Sciences,What brain signals are suitable for feedback control of deep brain stimulation in Parkinson's disease,"£2 293,27"
Cadmus Journal Services,Antimicobial Agents and Chemotherapy,Elevated chitin content reduces the susceptibility of Candida species to caspofungin,"£1 831,18"
American Society for Microbiology,Antimicrobial Agents and Chemotherapy,The R Enantiomer of the Antitubercular Drug PA-824 as a Potential Oral Treatment for Visceral Leishmaniasis,"£1 287,19"
American Society for Microbiology,Antimicrobial Agents and Chemotherapy,Assessing the Essentiality of Leishmania donovani Nitroreductase and Its Role in Nitro Drug Activation,"£1 287,20"
American Society for Microbiology,Antimicrobial Agents and Chemotherapy,Immunoactivating peptide P4 augments alveolar macrophage phagocytosis in two diverse human populations,"£1 521,66"
ASM (American Society for Microbiology),Antimicrobial Agents and Chemotherapy,Comparison of a high-throughput high-content intracellular Leishmania donovani assay with an axenic amastigote assay,"£1 299,39"
American Society for Microbiology,Antimicrobial Agfents and Chemotherapy,Cyclic AMP effectors in African Trypanosomes revealed by genome-scale RNA interference library screening for resistance to the phospphodiesterase inhibitor CpdA,"£3 750,05"
Mary Ann Liebert,Antioxidants & Redox Signaling,Oxidation of the Yeast Mitochondrial Thioredoxin Promotes Cell Death,"£1 347,79"
Mary Ann Liebert,Antioxidants and Redox Signaling,Ybp1 and Gpx3 signalling in Candida albicans govern hydrogen peroxide-induced oxidation of the Cap 1 transcription factor and macrophage escape,"£1 681,94"
MARY ANN LIEBERT INC,Antioxidants and Redox Signaling,Does oxidative inactivation of CD45 phosphatase in rheumatoid arthritis underlie immune hyporesponsiveness?,"£2 528,64"
Elsevier,Applied Energy,"Associations of individual, household and environmental characteristics with carbon dioxide emissions from motorised passenger travel","£2 377,65"
BMJ Group,Archives of Disease in Childhood,What causes attention deficit hyperactivity disorder ?,"£2 040,00"
BMJ Group,Archives of Disease in Childhood,Sleep patterns in children with autistic spectrum disorders: a prospective cohort study,"£2 340,00"
BMJ Journals,Archives of Disease in Childhood, Psychometric profile of children with auditory processing disorder (APD) and children with dyslexia,"£2 040,00"
Wiley,Arthritis & Rheumatism,Lack of effect of a single injection of human C-reactive protein on murine lupus or nephrotoxic nephritis,"£1 000,00"
Wiley,Arthritis & Rheumatism,Distinct roles for complement in glomerulonephritis and atherosclerosis revealed in mice with a combination of lupus and hyperlipidemia,"£1 500,00"
Wiley,Arthritis & Rheumatism,The circadian clock in chondrocytes regulates genes controlling key aspects of cartilage homeostasis,"£1 969,02"
Wiley,Arthritis and Rheumatism,The impact of inflammation on metabolomic profiles in patients with arthritis,"£1 500,00"
Wiley,Arthritis and Rheumatism,Metabolic profiling predicts response to anti-TNFα therapy in patients with rheumatoid arthritis,"£1 500,00"
BioMed Central,Arthritis Research & Therapy,Transcriptomic signatures in cartilage ageing,"£1 608,00"
BMC,Arthritis Research and Therapy,Myeloid related protein induces muscle derived inflammatory mediators in juvenile dermatomyositis,"£1 315,80"
Elsevier,Asian Journal of Psychiatry,The explanatory models and coping strategies for alcohol use.,"£2 014,59"
Elsevier,Asian Journal of Psychiatry,Outcomes that matter: a qualitative study with persons with schizophrenia and their primary caregivers in India,"£2 423,27"
Portland Press,ASN Neuro,Astrocytes and glutamate homeostasis in Alzheimer’s disease: a decrease in glutamine synthetase but not in glutamate transporter-1 in the prefrontal cortex.,"£1 453,42"
Elsevier,Atherosclerosis,HGF/c-Met Signaling Promotes Notch3 Activation and Human Vascular Smooth Muscle Cell Osteogenic Differentiation In Vitro,"£2 317,94"
Elsevier,Atherosclerosis,Increased expression of fatty acid binding protein 4 and leptin in resident macrophages characterises atherosclerotic plaque rupture,"£2 404,27"
Landes Bioscience,Autophagy,"A cyto-protective mechanism which prevents
primary human hepatocyte apoptosis during oxidative stress","£601,10"
T&F,Azania: Archaeological Research in Africa ,Jebel Moya (Sudan): new dates from a mortuary complex at the southern Meroitic frontier,"£1 823,76"
Elsevier,BBA - Molecular Basis of Disease,"Mutations in mitcochondrial ribosomal protein MRPL12 leads to growth retardation, neurological deterioration and mitochondrial translation deficiency","£2 366,57"
Elsevier,Behavior Research and Therapy,Clarifying boundaries of binge eating diorder and pyschiatric comorbidity: a latent sturcture analysis,"£2 212,09"
Elsevier,Behavior Research and Therapy,"Therapist competence, therapy quality and therapist training","£2 335,37"
American Psychological Association,Behavioral Neuroscience,Evidence that the rat hippocampus has contrasting roles in object recognition memory and object recency memory,"£3 021,72"
American Psychological Association,Behavioral Neuroscience,Dissociation of recognition and recency memory judgments after anterior thalamic nuclei lessions in rats,"£3 209,63"
American Psychological Association,Behavioral Neuroscience,The Neural Basis of Nonvisual Object Recognition,"£3 211,77"
Elsevier,Behaviour Research and Therapy,Enhanced cognitive behaviour therapy for adolescents with anorexia nervosa,"£2 269,53"
Elsevier,Behaviour Research and Therapy,Enhanced cognitive behaviour therapy for adolescents with anorexia nervosa: an alternative to family therapy?,"£2 269,53"
Elsevier,Behavioural Brain Research,The telomeric part of the human chromosome 21 from Cstb to Prmt2 is not necessary for the locomotor and short-term memory deficits observed in the Tc1 mouse model of Down syndrome,"£2 298,35"
Oxford University Press,Biinformatics,mzMatch-ISO: an R tool for the annotation and relative quantification of isotope-labelled mass spectrometry data,"£1 047,00"
Biochem Journal,Biochem Journal,Proteolytic Processing of QSOX1A Ensures Efficient Secretion of a Potent Disulfide Catalyst,"£1 800,00"
PORTLAND PRESS LTD,BIOCHEM SOC TRANS,"ZF-CXXC DOMAIN CONTAINING PROTEINS, CPG ISLANDS & THE CHROMATIN CONNECTION","£1 800,00"
Elsevier,Biochemical and Biophysical Research Communications,Differential COX-2 induction by viral and bacterial PAMPs: consequences for cytokine and interferon responses and implications for anti-viral COX-2 directed therapies,"£1 475,40"
Elsevier,Biochemical and Biophysical Research Communications,"Biochemical characterization of recombinant Candida albicans mannosyltransferases Mnt1, Mnt2 and Mnt5 reveals functions in O- and N-mannan biosynthesis","£2 246,40"
Portland press,Biochemical Journal,The dynamic action of SecA during the initiation of protein translocation,"£1 800,00"
Portland Press,Biochemical Journal,"Three dimensional structure of recombinant type 1 inositol 1,4,5-trisphosphate receptor","£1 800,00"
Portland Press,Biochemical Journal,Activation of IP3 receptors requires an endogenous 1-8-14 calmodulin-binding motif,"£1 800,00"
Portland Press,Biochemical Journal,Structure and mechanism of the PilF DNA transformation ATPase from Thermus thermophilus,"£2 050,00"
Portland Press Ltd,Biochemical Journal,The P-body component USP52/PAN2 is a novel regulator of HIF1A mRNA stability.,"£1 800,00"
Portland Press Ltd,Biochemical Journal,Characterization of a pre-export enzyme-chaperone complex on the twin-arginine transport pathway,"£1 800,00"
Portland Press Ltd,Biochemical Journal,Ube2W conjugates ubiquitin to α-amino groups of protein N-termini.,"£1 800,00"
Portland Press Ltd,Biochemical Journal,Human cap methyltransferase (RNMT) N-terminal non-catalytic domain mediates recruitment to transcription initiation sites.,"£1 800,00"
Portland Press Ltd,Biochemical Journal,"Characterization of Staphylococcus aureus EssB, an integral membrane component of the Type VII secretion system: atomic resolution crystal structure of the cytoplasmic segment.","£2 100,00"
Portland Press Ltd,Biochemical Journal,The AMPK-related kinase SIK2 is regulated by cAMP via phosphorylation at Ser358 in adipocytes,"£2 100,00"
Portland Press Ltd,Biochemical Journal,CFTR mutations altering CFTR fragmentation,"£2 100,00"
Portland Press Ltd,Biochemical Journal,The proteasome cap RPT5/Rpt5p subunit prevents aggregation of unfolded ricin A Chain,"£2 100,00"
Portland Press,Biochemical Journals,"Generation and characterisation of a lysosomally targeted, genetically encoded Ca2+- sensor","£1 800,00"
Elsevier,Biochemical Pharmacology,11β-Hydroxysteroid dehydrogenase type 1 contributes to the balance between 7-keto- and 7-hydroxy-oxysterols in vivo,"£2 961,92"
Portland Press,Biochemical Society Transactions,End-resection at DNA double-strand breaks in the three domains of life,"£900,00"
Portland Press,Biochemical Society Transactions,CHD4 in the DNA-damage response and cell-cycle progression: not so NuRDy now,"£2 100,00"
Portland Press Ltd,Biochemical Society Transactions,Novel functions for Rab GTPases in multiple aspects of tumour progression,"£1 800,00"
ACS Publications,Biochemistry,Monomeric 14-3-3 has a chaperone-like activity and is stabilized by phosphorylated HSpB6,"£665,64"
Elsevier,Biochimica et Bioohysica Acta - Gene Regulatory Mechanisms,The social fabric of the RNA degradosome,"£2 476,42"
Elsevier,Biochimica et Bioohysica Acta - Molecular Basis of Disease,The hereditary spastic paraplegia protein strumpellin: characterisation in neurons and of the effect of disease mutations on WASH complex assembly and function,"£2 307,23"
Elsevier,Biochimica et Biophysica Acta - Molecular Basis of Disease,Serotonin paracrine signalling in tissue fibrosis,"£2 370,96"
Elsevier,Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,Mitophagy and Parkinson's disease: the PINK1-parkin link,"£2 415,37"
Elsevier,Biochimie,11β-Hydroxysteroid dehydrogenase type 1 contributes to the regulation of 7-oxysterol levels in the arterial wall through the inter-conversion of 7-ketocholesterol and 7β-hydroxycholesterol.,"£2 315,48"
American Chemical Society,Bioconjugate Chemistry,"Design, synthesis and functional activity of labelled CD'ld glycoupid agonists","£1 565,26"
Wiley,Bioethics,What Can History Do for Bioethics?,"£1 901,02"
Wiley,Bioethics,Free Riders and Pious Sons - Why Science Research Remains Obligatory,"£1 969,41"
Wiley,Bioethics,"Presidential Address: The ethics of recognition, responsibility and respect ","£1 969,41"
Wiley ,Bioethics,"Health, vital goals, and central human capabilities","£1 898,01"
Springer,Biogerontology,Shared Ageing Research Models (ShARM): A new facility to support ageing,"£2 282,59"
Oxford University Press,Bioinformatics,A Beta-Mixture Quantile Normalisation method for correcting probe design bias in Illumina Infinium 450k DNA methylation data,"£1 700,00"
Oxford University Press,Bioinformatics,"The product of C9orf72, a gene strongly implicated in neurodegeneration, is structurally related to DENN Rab-GEFs","£1 700,00"
Oxford University Press,Bioinformatics,A robust model for read count data in exome sequencing experiments and implications for copy number variant calling,"£2 040,00"
Oxford University Press,Bioinformatics,FYPO: the fission yeast phenotype ontology,"£2 100,00"
Oxford Univ Press,Bioinformatics Online,ChromoHub: a data hub for navigators of chromatin-mediated signalling.,"£850,00"
Oxford University Press,Bioinformatics Online,GREVE: Genomic Recurrent Event ViEwer to assist the identification of patterns across individual cancer samples.,"£850,00"
Oxford University Press,Bioinformatics Online,Scaffolding low quality genomes using orthologous protein sequences,"£1 700,00"
THE COMPANY OF BIOLOGISTS,BIOL OPEN,DROSOPHILA SYNCRIP BINDS THE GURKEN MRNA LOCALISATION SIGNAL & REGULATES LOCALISED TRANSCRIPTS,"£1 014,74"
ASBMB,BIOLOGICAL CHEMISTRY,MOLECULAR ARCH. OF A COMPLEX BETWEEN ADHESION PROTEIN FROM MALARIA PARASITE & INTRACELLULAR ADHESION,"£946,55"
Elsevier,Biological Psychiatry,COMT Val158Met Genotyp Determines the Direction of Cognitive Effects Produced by Catechol-O-Methyltrasferse Inhibition,"£2 142,93"
Elsevier,Biological Psychiatry,Neural and behavioural aspects of a novel mu opeid receptor antagonist in binge-eating obese people,"£2 330,13"
Elsevier,Biological Psychiatry,Counterfactual processing of economic action-outcome alternatives in obsessive-compulsive disorder: further evidence of impaired goal-directed behaviour,"£2 429,17"
Elsevier,Biological Psychiatry,Enhanced avoidance habit learning in obsessive-compulsive disorder,"£2 469,95"
Elsevier,BIOLOGICAL PSYCHOLOGY,"The catechol-O-methyltransferase gene (COMT) and cognitive function from childhood through adolescence
","£2 435,38"
ASBMB,Biologicial Chemistry,Molecular Basis for Jagged-1 Serrate,"£1 281,59"
Public Library of Science,Biology,Independent Regulation of Basal Neurotransmitter Release Efficacy by Variable Ca2+ Influx and Bouton Size at Small Central Synapses,"£1 836,91"
Royal Society,Biology Letters,Host nutrition alters the variance in parasite transmission potential.,"£1 260,00"
Royal Society,Biology Letters,Anthelmintic treatment alters the parasite community in a wild mouse host,"£1 680,00"
Royal Society,Biology Letters,Vaulting mechanics successfully predict decrease in walk-run transition speed with incline,"£1 680,00"
Royal Society,Biology Letters,Constraints on muscle performance provide a novel explanation for the scaling of posture in terrestrial animals,"£2 040,00"
Company of Biologists,Biology Open,Olfactory ensheathing glia are required for embryonic olfactory axon targeting and the migration of gonadotrophin-releasing hormone neurons,"£1 044,00"
Company of Biologists,Biology Open,Highly efficient bi-allelic mutation rates using TALENs in Xenopus tropicalis,"£1 044,00"
Company of Biologists,Biology Open,Nrf2 impacts cellular bioenergetics by controlling substrate availability for mitochondrial respiration,"£1 044,00"
The company of Biolgists,Biology Open,Analysis of the cartilage proteome from three different mouse models of genetic skeletal diseases reveal common and discrete disease signatures,"£1 044,00"
The company of Biologists,Biology Open,Intra-ER sorting of the peroxisomal membrane protein Pex3 relies on its luminal domain,"£1 044,00"
ACS,Biomacromolecules,Structural characterization of a Model Gram-negative bacterial surface using lipopolysaccharides from rough strains of escherichia coli,"£2 381,04"
Elsevier,Biomaterials,"Incorporation of Paramagnetic, Fluorescent and PET/SPECT Contrast Agents into Liposomes for Multimodal Imaging","£2 329,03"
